"company","serial_number","name","asset_tag","manufacturer","u_manufacturer_part_number","u_parent_asset","location"
"Island Health","1801000-0017","AO400283-CRT","C018806","ERGOTRON","SV43-2570-0","AO400283","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-4th Floor"
"Island Health","","C100541","C100541","","","",""
"Island Health","","C010179333","C21212Mmmm086","","","",""
"Island Health","2022365-0067","AO005682-CRT","CO13347","ERGOTRON","C50-3500-0","AO005682","VIHA-NRGH-Nanaimo Regional General Hospital"
"Island Health","2022511-0107","AO005683-CRT","CO17006","ERGOTRON","C50-3500-0","AO005683","VIHA-NRGH-Nanaimo Regional General Hospital"
"Island Health","2022365-0021","AO005684-CRT","CO17008","ERGOTRON","C50-3500-0","AO005684","VIHA-NRGH-Nanaimo Regional General Hospital"
"Island Health","2022341-0113","AO005685-CRT","CO17010","ERGOTRON","C50-3500-0","AO005685","VIHA-NRGH-Nanaimo Regional General Hospital"
"Island Health","2022365-0011","AO005686-CRT","CO17012","ERGOTRON","C50-3500-0","AO005686","VIHA-NRGH-Nanaimo Regional General Hospital"
"Island Health","1297848-0033","AO800349-CRT","HSS-1038970","ERGOTRON","C50-3510-0","AO800349","VIHA-PAH-Port Alice Health Center-Main Building-1st Floor"
"Island Health","1888706-0017","AO800350-CRT","HSS-1038971","ERGOTRON","C50-3510-0","AO800350","VIHA-PAH-Port Alice Health Center-Main Building-1st Floor"
"Island Health","1888706-0009","AO800351-CRT","HSS-1038972","ERGOTRON","C50-3510-0","AO800351","VIHA-PAH-Port Alice Health Center-Main Building-1st Floor"
"Island Health","C21B16M020","AO001664","HSS-1044428","","","","VIHA-GLEN-Glengarry Hospital-Fairfield Unit"
"Island Health","20275470071","AO005712-CRT","HSS-1940494","ERGOTRON","C50-3500-0","AO005712","VIHA-CUPCC-Cowichan Urgent Primary Care Centre"
"Island Health","20275470074","AO005711-CRT","HSS-1940495","ERGOTRON","C50-3500-0","AO005711","VIHA-CUPCC-Cowichan Urgent Primary Care Centre"
"Island Health","1784734-0003","AO400162-CRT","HSS-8075662","ERGOTRON","SV43-1320-0","AO400162","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","1740163-0004","AO400257-CRT","HSS-8079841","ERGOTRON","SV43-2570-0","AO400257","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-5th Floor"
"Island Health","1845011-0012","AO001104-CRT","HSS-8092093","ERGOTRON","SV41-6300-0","AO001104","VIHA-VSQV-Victoria Summit Quadra Village-Main Building-4th Floor"
"Island Health","1269742-0005","AO000145-CRT","HSS-8094487","ERGOTRON","","AO000145","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1399174-0020","AO800125-CRT","HSS-9000067","ERGOTRON","SV43-2570-0","AO800125","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1399174-0038","AO800075-CRT","HSS-9800001","ERGOTRON","SV43-2570-0","AO800075","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1334108-0060","AO005165-CRT","HSS-9800002","ERGOTRON","SV41-6300-0","AO005165","VIHA-CRG-Campbell River General Hospital-Main Building-Basement 1"
"Island Health","1328164-0053","AO400596-CRT","HSS-9800003","ERGOTRON","C50-3500-0","AO400596","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1399176-0023","AO400593-CRT","HSS-9800004","ERGOTRON","SV43-1340-0","AO400593","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1328164-0097","AO400592-CRT","HSS-9800006","ERGOTRON","SV41-6300-0","AO400592","VIHA-CRG-Campbell River General Hospital-Main Building-Basement 1"
"Island Health","1393797-0019","AO800038-CRT","HSS-9800007","ERGOTRON","C50-3510-0","AO800038","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1393797-0008","AO800083-CRT","HSS-9800008","ERGOTRON","C50-3510-0","AO800083","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1393797-0025","AO800056-CRT","HSS-9800009","ERGOTRON","C50-3510-0","AO800056","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1393797-0040","AO800106-CRT","HSS-9800010","ERGOTRON","SV43-2570-0","AO800106","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1328164-0090","AO800025-CRT","HSS-9800011","ERGOTRON","C50-3500-0","AO800025","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1399176-0024","AO800094-CRT","HSS-9800012","ERGOTRON","SV43-2570-0","AO800094","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1399174-0010","AO800089-CRT","HSS-9800013","ERGOTRON","SV43-2570-0","AO800089","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1399175-0020","AO400594-CRT","HSS-9800014","ERGOTRON","SV43-2570-0","","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1328164-0045","AO800081-CRT","HSS-9800015","ERGOTRON","C50-3500-0","AO800081","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1399175-0017","AO800126-CRT","HSS-9800016","ERGOTRON","SV43-2570-0","AO800126","VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor"
"Island Health","1399174-0006","AO800095-CRT","HSS-9800017","ERGOTRON","SV43-2570-0","AO800095","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1334108-0058","AO400587-CRT","HSS-9800018","ERGOTRON","C50-3500-0","","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1399176-0009","AO800079-CRT","HSS-9800019","ERGOTRON","SV43-2570-0","AO800079","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1399174-0013","AO800084-CRT","HSS-9800020","ERGOTRON","SV43-2570-0","AO800084","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1399174-0042","AO800050-CRT","HSS-9800021","ERGOTRON","SV43-2570-0","AO800050","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1399174-0029","AO800087-CRT","HSS-9800022","ERGOTRON","SV43-2570-0","AO800087","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1399176-0027","AO800066-CRT","HSS-9800023","ERGOTRON","SV43-2570-0","AO800066","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1324266-0082","AO800116-CRT","HSS-9800024","ERGOTRON","C50-3500-0","AO800116","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1399174-0033","AO800077-CRT","HSS-9800025","ERGOTRON","SV43-2570-0","AO800077","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1328164-0046","AO800046-CRT","HSS-9800026","ERGOTRON","C50-3500-0","AO800046","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1399174-0028","AO800063-CRT","HSS-9800027","ERGOTRON","SV43-2570-0","AO800063","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1399174-0046","AO800026-CRT","HSS-9800028","ERGOTRON","SV43-2570-0","AO800026","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1359919-0004","AO800022-CRT","HSS-9800029","ERGOTRON","C50-3500-0","AO800022","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
