"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"LD030245","LD030245","HSS-8074265","2JZPQT3","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Main Building","Solarium office -Right end desk","1","VIHATRP20230509-009","08/31/2031","NTT-Deskside Services-PortHardy-Staffed"
"PC023576","PC023576","HSS-1110233","2KGNG14","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Main Building","Room 1","1","REQ1642735-RITM1733656-SCTASK2785562","06/30/2033","NTT-Deskside Services-PortHardy-Local"
"PC047068","PC047068","HSS-8025760","2KVKGC3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Main Building","Emergency (Between two cabinets)","","VIHATRP20211206-007","02/28/2030","NTT-Deskside Services-PortHardy-Remote"
"LD044184","LD044184","HSS-8074254","2M4QQT3","VIHA-PHFP-Port Hardy Family Practice-Main Building-1st Floor","Main Building","208","2","VIHATRP20230509-002","10/31/2031","NTT-Deskside Services-PortHardy-Local"
"LD068604","LD068604","HSS-8058419","2NJJRH3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Admin trailer","WFH","1","VIHATRP20220502-006","07/31/2030","NTT-Deskside Services-PortHardy-Remote"
"","PC035174","HSS-8058437","2NXJRH3","VIHA-CICHC-Cormorant Island Community Health Centre-Main Building-1st Floor","Main Building","404 - Doctors Dictation Room","","VIHATRP20220502-018","07/31/2030","NTT-Deskside Services-PortHardy-Remote"
"PC035167","PC035167","HSS-8058374","2RJJRH3","VIHA-PAH-Port Alice Health Center-Main Building-1st Floor","Main Building","Nursing Station","","VIHATRP20220425-036","08/31/2030","NTT-Deskside Services-PortHardy-Remote"
"PC029582","PC029582","HSS-8087993","2S84VZ3","VIHA-SHC-Sointula Health Clinic-Main Building-1st Floor","Main Building","Clinic Room 1","1","VIHATRP20240624-008","08/31/2032","NTT-Deskside Services-PortHardy-Remote"
"PC031990","PC031990","HSS-1200733","2SRBW14","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","","Lab (Behind Front Desk)","","INC4684519","","NTT-Deskside Services-PortHardy-Remote"
"PC023327","PC023327","HSS-8074282","2T8QQT3","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Main Building","Room 13","","VIHATRP20230509-021","08/31/2031","NTT-Deskside Services-PortHardy-Local"
"PC080097","PC080097","HSS-1041554","2TDSVP3","VIHA-PHFP-Port Hardy Family Practice-Main Building-1st Floor","Main building","210","","REQ0754160-RITM0792371-SCTASK1422504","04/30/2031","NTT-Deskside Services-PortHardy-Local"
"LD027178","LD027178","HSS-1033032","2V9JRH3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Main Building","Admin Trailer - Sandra Rezansoff","1","REQ0515823-RITM0541253-SCTASK0840157","05/31/2030","NTT-Deskside Services-PortHardy-Remote"
"LD038223","LD038223","HSS-1043345","2VJPQT3","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Main Building","7","1","REQ1002503-RITM1054609-SCTASK1708370","09/30/2031","NTT-Deskside Services-PortHardy-Local"
"PC047062","PC047062","HSS-8088043","2W84VZ3","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Main Building","Trauma Room","1","VIHATRP20240624-046","08/31/2032","NTT-Deskside Services-PortHardy-Staffed"
"LD035991","LD035991","HSS-1041553","30QSVP3","VIHA-PHFP-Port Hardy Family Practice-Main Building-1st Floor","Main Building","208","1","REQ0754160-RITM0792371-SCTASK1422504","04/30/2031","NTT-Deskside Services-PortHardy-Local"
"PC026576","PC026576","HSS-1044260","3197PW3","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Main Building","Room 12","1","REQ1097737-RITM1155426-SCTASK1875933","12/31/2031","NTT-Deskside Services-PortHardy-Local"
"PC085179","PC085179","HSS-1043228","32PPQT3","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Main Building","?","1","REQ1006950-RITM1059234-SCTASK1696782","09/30/2031","NTT-Deskside Services-PortHardy-Remote"
"PC076279","PC076279","HSS-8087983","36F4VZ3","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Main Building","Mid Office","1","VIHATRP20240624-003","08/31/2032","NTT-Deskside Services-PortHardy-Remote"
"LD065367","LD065367","HSS-8058365","36KHRH3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Main Building","Lead Office","1","VIHATRP20220425-030","09/30/2030","NTT-Deskside Services-PortHardy-Remote"
"PC031987","PC031987","HSS-8058414","36SJRH3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Admin Trailer","Room to left of entrance HCC","","VIHATRP20220502-004","07/31/2030","NTT-Deskside Services-PortHardy-Remote"
