"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"PC034870","PC034870","HSS-8025671","6BXKGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G256 - Desk 2","","VIHATRP20211129-013","02/28/2030","NTT-Deskside Services-Nanaimo-Staffed"
"","LD037329","HSS-8023638","6C0HGC3","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","","341","","VIHATRP20210816-020","11/30/2029","NTT-Deskside Services-Nanaimo-Local"
"LD034411","LD034411","HSS-8084194","6C35VZ3","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","Main Building","TBD","3rd Floor","VIHATRP20240304-053","04/30/2032","NTT-Deskside Services-Nanaimo-Local"
"PC032051","PC032051","HSS-8089072","6C63VZ3","VIHA-NWWS-Nanaimo Wentworth Street-Main Building-3rd Floor","Main Building","304","3rd Floor","VIHATRP20240806-024","10/31/2032","NTT-Deskside Services-Nanaimo-Local"
"PC031926","PC031926","HSS-8057986","6CCJRH3","VIHA-NRGH-Nanaimo Regional General Hospital-Ambulatory-Basement 1","Ambulatory","B225 - Nursing Station","","VIHATRP20220404-045","09/30/2030","NTT-Deskside Services-Nanaimo-Staffed"
"LD063010","LD063010","HSS-1042245","6CFQQT3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-3rd Floor","Main Building","B004","3","REQ0893185-RITM0938973-SCTASK1502856","06/30/2031","NTT-Deskside Services-Nanaimo-Staffed"
"LD065083","LD065083","HSS-8022497","6CKJGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","Main","WFH - Danya Bigg","","VIHATRP20210621-054","11/30/2029","NTT-Deskside Services-Nanaimo-Staffed"
"PC032734","PC032734","HSS-8061091","6CMMVF3","VIHA-NHC-Nanaimo Health Centre-Main Building-2nd Floor","Main Building","Scheduling Office","","VIHATRP20220808-054","10/31/2030","NTT-Deskside Services-Nanaimo-Local"
"PC040568","PC040568","HSS-1047038","6CQ4VZ3","VIHA-NHC-Nanaimo Health Centre-Main Building-2nd Floor","Main Building","218","2","REQ1331334-RITM1404052-SCTASK2287132","08/31/2032","NTT-Deskside Services-Nanaimo-Local"
"LD030479","LD030479","HSS-8093674","6CR4W14","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","Main Building","302","3rd Floor","VIHATRP20250602-003","06/30/2030","NTT-Deskside Services-Nanaimo-Local"
