"City","Location","Building","Floor","Room","Department"
"","","","","205-Ivette Dol","Maintenance"
"","","","","206","Maintenance Workers Shop"
"","","","","2060","Manager"
"","","","","2060A - Seminar Room 1","MCC Adolescent Psychiatry"
"","","","","2061","MCC Comm Outreach Response"
"","","","","2061 - Office","MCC Youth Addictions Admin"
"","","","","2063","McCarthy, Shannon (WFH)"
"","","","","2064 - Family Practice Site Director","MCV Nurse Prescribing"
"","","","","2065","MCV Regional Eating Disord Srv"
"","","","","2065 - Family Practice Faculty Office","MCV Substance Use Admin"
"","","","","2066 - Resident Student Lounge","MDRD"
"","","","","206-HSN-North","Mechanical"
"","","","","207","Mechanical Maint & Oper"
"","","","","207  Pharmacy","Med Staff Cred and Priv"
"","","","","207  Pharm-Karen","Med Staff Recruitment"
"","","","","208","Medical"
"","","","","209","Medical Affairs"
"","","","","21","Medical and Academic Affairs"
"","","","","210","Medical Daycare"
"","","","","210A","Medical Health Officer"
"","","","","210B","Medical Imag Clerical Adm"
"","","","","211","Medical Imag Site Admin"
"","","","","212","Medical Imaging"
"","","","","212 - Mike Kirby","Medical imaging"
"","","","","213","Medical Imaging - Nuclear Medicine"
"","","","","213 - Yogi Acharya","Medical Imaging Admin"
"","","","","213 (Home Support) CHW room","Medical Imaging Booking"
"","","","","214","Medical Imaging Systems"
"","","","","215","Medical Informatics & Provider Experience"
"","","","","216","Medical Librarian"
"","","","","216 - Gail Munroe's Desk","Medical Library"
"","","","","216 - Krystal","Medical Staff"
"","","","","216 - Lori Haywards desk","Medical Staff Contracts"
"","","","","216 - Zoe","Medical Staff Cred and Priv"
"","","","","217","Medical Ward"
"","","","","218","Medication Safety"
"","","","","218  HSS Leader","Medication Safety / ProEX"
"","","","","218A","Med-Therapy-Rehab - NRGH Adm"
"","","","","218B","Mental Health"
"","","","","219","Mental Health & Addiction"
"","","","","219 - Covid Laptop","Mental Health & Addiction Services"
"","","","","219  HSN","Mental Health & Addictions Services"
"","","","","219 - Katie Anweiler","Mental Health & Addictions Services-"
"","","","","22","Mental Health & AS Admin"
"","","","","22 (Lincoln Silk)","Mental Health & Substance Abuse"
"","","","","22 (Orion Gareau)","Mental Health Act"
"","","","","22 (Rod Hanson)","Mental Health MHSU"
"","","","","220","Mental Health Services"
"","","","","220 - Diane","Mental Hlth Inpatient Unit"
"","","","","222 - Charmian's Device","MHSU"
"","","","","223","MHSU Community Outreach Response 528 Wentworth"
"","","","","228 - Dept loaner -WFH","MHSU Cowi Nana & Tert Adm"
"","","","","23","MHSU Strat Clin Netwrk Admin"
"","","","","2305","MI Clerical & RIS Supp Admin"
"","","","","2305 - CNL","Mobile Mammogram Clinic"
"","","","","2306","Nan MHSU Comm Brooks Landing"
"","","","","2306-A","Nanaimo & District Hospital Foundation"
"","","","","2307 - Physician","Nanaimo ACT Team"
"","","","","2308 - NUA","Nanaimo ACT Team 2"
"","","","","231","Nanaimo Adm"
"","","","","2310-A","Nanaimo Admin Support"
"","","","","2310-B","Nanaimo CAC"
"","","","","2310D - seat A - Collaboration Centre","Nanaimo Case Mgmt Coordina"
"","","","","2310D - seat B - Collaboration Centre","Nanaimo Case Mgmt Coordinator"
"","","","","2310D - Seat D - Collaboration Centre","Nanaimo Community Services"
"","","","","2322 - Medication Room","Nanaimo Diabetes Ed Centre"
"","","","","2325-A","Nanaimo Home Care Nursing"
"","","","","2325-B","Nanaimo Home Sup Prog(NHS)"
"","","","","233","Nanaimo Home Support"
"","","","","233 - Med Room","Nanaimo MHSU Acute"
"","","","","233 - Office","Nanaimo MHSU Commun Wentworth"
"","","","","2336-B","Nanaimo Occupational Ther"
"","","","","237","Nanaimo Oceanside Adm"
"","","","","238","Nanaimo PCN"
"","","","","239","Nanaimo Primary Care NPs"
"","","","","239 - Serena Smith","Nanaimo Seniors Mental Hlt"
"","","","","24","Nanaimo Social Work"
"","","","","240","Nanaimo SOPC"
"","","","","243","Nanaimo Transitions"
"","","","","25","Nanaimo/Gabriola Home Support"
"","","","","253 (office door labelled CSC)-Kris Kjellbotn","Near Patient Testing Lab"
"","","","","26","Network & Solutions Admin"
"","","","","27","Network Architecture"
"","","","","28","Network Operations"
"","","","","29- 1925 Bowen Rd (cubicle)","Network Services"
"","","","","2B-4488 Wellington Rd","Networks"
"","","","","2nd Floor","Neuro EDS"
"","","","","2nd floor","Neurology"
"","","","","2nd floor - Admin / Rehab area","Neurology Clinics"
"","","","","2nd floor Discovery office","Neuros EDS"
"","","","","2nd floor reception / Carrie","NICU"
"","","","","2nd floor Team room","NP Clinical Lead, NP Department Head"
"","","","","3","NRG ALC Courtyard Overflow"
"","","","","30","NRG Building Maintenance"
"","","","","300","NRG Cancer Centre-Proj Mgmt"
"","","","","300 - Cubicles","NRG F6 Surgical"
"","","","","300 - Cubicles - Joanne Dun","NRG Home Dialysis Clinic"
"","","","","300 - Cubicles (Back)","NRG Nutrition Services"
"","","","","300 - Cubicles (Middle)","NRG PACU/SDC"
"","","","","300 - Cubicles Back","NRG Pharmacy"
"","","","","3004","NRG PreAdmit Clinic Nursing"
"","","","","301","NRG Renal Unit"
"","","","","301 - WFH","NRG Social Work"
"","","","","3015 - Step Down Room","NRGH Emergency"
"","","","","3015-Hallway","NRGH Emergency Services"
"","","","","3019","NRGH Enhanced Dischge Team"
"","","","","302","NRGH Fl1"
"","","","","302 - WFH","NRGH ICU HAU & Respira Thrpy"
"","","","","3020 - Conference Room","NRGH Med Flr 4 & Stroke"
"","","","","303","NRGH Med Flr 5"
"","","","","303 - 11 PAC Nursing Office 2","NRGH Rehab"
"","","","","303 - 15 Print Room","NRGH Surgical Floors 3 & 6"
"","","","","303 - 16 Office","NRGH Therapy"
"","","","","303 - 4 Classen Perioperative Centre","Nurse Training"
"","","","","303 - 5 Doctor Consult Room 2","NursePacStrat&Prac"
"","","","","303 - 9 Nursing Office","Nurse�s Office"
"","","","","303 - Admin Desks","Nursing - Med/Sur"
"","","","","303 (Floor 3)","Nursing Assistant I LTC Aide"
"","","","","3033","Nursing Support Services"
"","","","","3034 - Hospitalist","Nutrition Services"
"","","","","303-7","Occupational Therapy"
"","","","","303-8","Occupational Therapy - Restorative Health"
"","","","","304","Oceanside Community Health services 489 Alberni highway Parksville"
"","","","","304A","Oceanside Community Health Svc"
"","","","","305","Oceanside Health Centre"
"","","","","306","Oceanside Integration Adm"
"","","","","307","Oceanside NP"
"","","","","308","Oceanside PCN"
"","","","","308 - WFH","Ocnsde/WC/Comm Strg ED Adm"
"","","","","309","OHC Rehab Services"
"","","","","31 - (shared end user - viha\gaaudio)","OHS"
"","","","","310","OP COVID19 Therapeut Clin"
"","","","","310 - Cole's Office","Operating room"
"","","","","3100A","Operating Room"
"","","","","311","Operating Room Main"
"","","","","312","Operating Rooms"
"","","","","313","Opioid Strategy"
"","","","","314","OR"
"","","","","315","OR Booking"
"","","","","316","Orthopedic Clinic"
"","","","","317","Outpatient Psychiatry"
"","","","","318","Over Occupancy Area"
"","","","","318A","PA West Coast Adm"
"","","","","318B","PA Westcoast Admin Support"
"","","","","318C","PA Westcoast MHSU"
"","","","","318D","PA/Oceanside Admin"
"","","","","318E - Deb Brown","Pacemaker"
"","","","","319A","Pacemaker Clinic"
"","","","","320","PACS Admin"
"","","","","321A","PACU"
"","","","","324","PACU/ Psyciatry"
"","","","","325","Paediatric Ambulatory"
"","","","","327","Paediatric Ambulatory Health Clinic"
"","","","","328","Paediatrics"
"","","","","328 - Michelle Peach","Pain Clinic"
"","","","","329","Palliative"
"","","","","329 MDO Processing Centre computer","Palliative Care Services"
"","","","","33","Palliative Care Team"
"","","","","333","Palliative End of Life"
"","","","","336","Parking Services"
"","","","","337","Parksville Region Treatmnt Cen"
"","","","","338","Patient Care Quality Off"
"","","","","34","Patient Flow"
"","","","","341","Patient Placement"
"","","","","344","Patient Safety"
"","","","","3445","Payroll"
"","","","","345","Payroll Leave Mgmt"
"","","","","35","PCN"
"","","","","355","PEOL"
"","","","","355 - Megan/Cathy R.","Perinatal"
"","","","","360","Perinatal."
"","","","","361","Perioperative Admin VGH"
"","","","","362","PES"
"","","","","363 - (Karen Gjevre's)","PH Immun COVID 19"
"","","","","364","Pharmacist"
"","","","","366","Pharmacy"
"","","","","370","Pharmacy Admin"
"","","","","370 - WFH","Pharmacy Clinical"
"","","","","371","Pharmacy Clinical Services"
"","","","","372","Pharmacy Corporate"
"","","","","372 - WFH","PHC Licensing?"
"","","","","39","PHC QCC Public Health Admin"
"","","","","3rd floor front office","PHN Environmental Health"
"","","","","3rd floor reception","PHV COVID19 Response PH"
"","","","","4","Physician Contracts"
"","","","","4003","Physician?s Lounge"
"","","","","4003 - Social Work Office","Physician's Lounge"
"","","","","4019","Physiotherapy"
"","","","","447","PICU"
"","","","","45","Platform Ops"
"","","","","5019 - Care Coordinator Office","Plumbing"
"","","","","5020 - Conference Room","Polyclinic Extension Workstation"
"","","","","5027 - Jenn Scrunton RN Manager","Pop Health & Surveill"
"","","","","5033","Population & Public Health, Education and Practice Support"
"","","","","5033 - CNE Cart","Porter Services"
"","","","","5034 - Hospitalist","Porter Services/Device Processing"
"","","","","504 - Kitchen Office","Post Pardem"
"","","","","6","PPH Information Systems"
"","","","","6003 - floor 6","PR Acctg & Rptg"
"","","","","6003 - Liaison & Social Work","Pre-Analytics & Central Labora"
"","","","","6006 - Hallway","Primary & Community Care"
"","","","","6018","Primary Care"
"","","","","6031 - Hospitalist","Profession Practice Team B"
"","","","","611 Food Services Manager Offi","Protection Services"
"","","","","613 - Supervisor - Housekeeping/Laundry","Protection Services Avigilon"
"","","","","6475","Protection Svcs Admin"
"","","","","7","Provider Educ & Experience"
"","","","","8","Provider Education & Standards"
"","","","","9","PS2  Programs and Services II, COS Clinical Imp & Informatics"
"","","","","9 - Hallway (right)","Psychiatry"
"","","","","91","Public Health"
"","","","","A drop off at reception","Public Health (CYF Admin)"
"","","","","Accounts Receivable - Patient Billing","Public Health Admin"
"","","","","Across from Endo Nurse Station","Public Health Admin VI"
"","","","","Activity Kitchen","Public Health Informatics"
"","","","","Admin","Public Health Nursing"
"","","","","Admin Area","Public Health Nursing (QMC)"
"","","","","Admin area","Public Health; TVPC"
"","","","","Admin Desk - Glass office","Purchasing"
"","","","","Admin Hallway","Pyrl Acct Benefit Leave &Rpt"
"","","","","Admin Office","QCC Public Health Admin"
"","","","","admin office","QCC Public Health Nursing"
"","","","","admin station","QMC Public Health Nursing"
"","","","","Administration","RADU"
"","","","","administration 106","Rani-HS"
"","","","","Admission Desk","Rapid Admit/Discharge Unit"
"","","","","Admissions Desk","Reception - Health Services"
"","","","","Admitting","Recruitment"
"","","","","alc - Hallway","Recruitment Team B"
"","","","","ALC Courtyard - Office:  for CNL - Lara Ibarrola","Region 2 Scheduling Nanaim"
"","","","","Ambulatory","Region 2 Scheduling Nanaimo"
"","","","","Ambulatory Admitting","Regional Renal Services"
"","","","","at home use laptop","REHAB"
"","","","","At the back","Rehab"
"","","","","Attention Olga Ezzo, Palliative Care Coordaintor","Rehab Services"
"","","","","Audiology","Rehab Unit"
"","","","","Audiology Reception","Renal"
"","","","","B","Renal and General Medical"
"","","","","B 235","Renal Dialysis Unit"
"","","","","B004","Renal Dialysis Unit - Social Work"
"","","","","B004 - Attn. David Sponaugle","Renal Home Dialysis"
"","","","","B004 - Print Shop","Renal Nutrition"
"","","","","B004 - Printshop","Renal Unit"
"","","","","B004 - WFH","Residential Services"
"","","","","B004 - WFH - CLister2","Respiratory Services"
"","","","","B004 - WFH - James M Scott","Respiratory Therapy"
"","","","","B004 - WFH - Jeff Tyler","Respiratory Therapy Services"
"","","","","B004 - WFH - Jennifer Simm","Revenue Billing Dpt"
"","","","","B004 - WFH - Kyle Wiebe","RJH PES & Bridging Care Progrm"
"","","","","B004 - WFH - Kylie Jacobson","RS Clin Nurse Educators-2"
"","","","","B004 - WFH - Linda Thomas","Saltspring Island MHSU"
"","","","","B004 - WFH - Lisa Nothling","Satellite Lab"
"","","","","B004 - WFH - Rhonda Westra","Sched Serv QI & Ed"
"","","","","B004 - WFH - Sally Proffitt","Scheduling"
"","","","","B004 - WFH - Sheila Williams (swilliams7)","Scheduling Services"
"","","","","B004 - WFH - Shelley Gallant","Senior Health"
"","","","","B004 - WFH - Tiffany Donocan Holkestad","Senior Outreach"
"","","","","B004 - WFH - Yingtong Zhu","Senior Outreach Center"
"","","","","B004 - WFH (Diane Diamond)","Seniors Health Educators"
"","","","","B004 - WFH (Dillan Eckel)","Seniors Outreach/GSS"
"","","","","B004 - WFH Echo Booking","Seniors Strategy and Tertiary Mental Health"
"","","","","B004 (Print Shop)","Shipping"
"","","","","B004 -WFH","SI Ambulatory Clinics"
"","","","","B004- WFH","SI Medical Health  Officer"
"","","","","B004-WFH","SI MHSU CYFMHSU and CYF Admin"
"","","","","B007","Site Safety"
"","","","","B007D","SLP NRGH Community"
"","","","","B007-D","Social Work"
"","","","","B011","Social Work Liaison"
"","","","","B011-WFH","Social Work Office - Ground Floor"
"","","","","B014","Solutions Engineering and IMIT"
"","","","","B022","Specialty Care"
"","","","","B022 Daryl Dry","Specialty Care Clinic"
"","","","","B023","Specialty Care Clinic - Stroke Strategy"
"","","","","B0289","Specialty Care Unit"
"","","","","B028A","Speech Pathology"
"","","","","B028-B","Speech Therapy"
"","","","","B028C","Speech-Language Pathology"
"","","","","B028d","Spiritual Health"
"","","","","B032","Staffing Services"
"","","","","B033","Stores"
"","","","","B047","Strategic Cont Qlty Improvemt"
"","","","","B047 - Open Work Area","Strategic Information"
"","","","","B048 - Tara Owen","Student Cart"
"","","","","B065b Boardroom","Student cart"
"","","","","B065c","Substance Use Admin"
"","","","","B075 - Dictation","Substance Use Services"
"","","","","B091","SUCO - Substance Use Services Outreach"
"","","","","B1011","Surgical"
"","","","","B162 - Pharmacy Chemo Anti Room","Surgical - Manager"
"","","","","B203","Surgical Care"
"","","","","B212","Surgical services"
"","","","","B213","Surgical Services"
"","","","","B218 - Cancer Clinic Nurse's Station","Surgical Short Stay"
"","","","","B22?","SUSO"
"","","","","B224 - Office","SUSO - Substance Use Services Outreach"
"","","","","B224a - Kari O?Hara","Switchboard"
"","","","","B225 - Respiratory Services Reception","Talent Experience"
"","","","","B227","Technology Systems Support"
"","","","","B227 - Office","Telehealth"
"","","","","B227-Office","Therapy services"
"","","","","B228 - Telehealth","Thermal Energy"
"","","","","B228 - WFH","Timekpg Pyrl Ben Admin"
"","","","","B229 Pulmonary Function Lab","Tobacco & Vapour Prevention and Control Program"
"","","","","B229-Pulmonary Function Lab","Tobacco Control"
"","","","","B231 - Social Work","Tobacco Enforcement"
"","","","","B231 - Social Worker Swing Room","Training"
"","","","","B233","Transcription"
"","","","","B234 - Respiratory Dictation Room","Transitions"
"","","","","B235","Trillium"
"","","","","B236 - Pulmonary Function Lab","Trillium  Lodge"
"","","","","B236 - Respiratory Care Centre","Trillium Lodge"
"","","","","B239","UBC - Medical Affairs"
"","","","","B239 - Pharmacy","UBC Department of Family Practice"
"","","","","B239b - Pharmacy Inner Office","UBC Faculty"
"","","","","B243","Ultrasound"
"","","","","B244","Unit 40"
"","","","","B244 - Lisa Saffarek","unknown"
"","","","","B244-Future 2OC","Urgent Care"
"","","","","B246","VGH Adult ICU and HAU"
"","","","","B247","VGH PACU/SDC"
"","","","","B249","Victoria PCN"
"","","","","B251 / CR3810 - 3C/D","VIHA Community & Specialty Services"
"","","","","B253","Volunteer Resources & Engagement"
"","","","","B253 - WFH","Wellness Center"
"","","","","Back area","WFH"
"","","","","back meeting room at Dufferin Place","Workforce Optimization"
"","","","","Back office","Workforce Scheduling"
"","","","","basement","XRAY & EDS/ ECHO"
"","","","","Behind Hearing Booth","XRAY & EDS// ECHO"
"","","","","Biomed - OR core area","X-Ray/Fluoroscopy"
"","","","","Biomed Workroom","Youth Addictions Treatment"
"","","","","Biomedical Engineering","Youth Wellness Center"
"","","","","BIP Office","YSTAR"
"","","","","Birch unit 174",""
"","","","","Blue Nursing Report Room",""
"","","","","Board Room",""
"","","","","Boardroom",""
"","","","","Boiler Rm",""
"","","","","book the Telehealth room 208",""
"","","","","Booth A - Audio Testing",""
"","","","","Booth B - Audio Testing",""
"","","","","Bowen Road unit 38-Brian's computer",""
"","","","","Breast Feeding room",""
"","","","","B-Tech 1 Office",""
"","","","","C1 Pod",""
"","","","","C1 Pod - 724",""
"","","","","C1 Pod - Unit Clerk",""
"","","","","C2 Pod",""
"","","","","C2 Pod - Unit Clerk",""
"","","","","C3 Pod",""
"","","","","C3 Pod - Unit Clerk",""
"","","","","C4 Pod",""
"","","","","C4 Pod - Unit Clerk",""
"","","","","Can meet at NRGH",""
"","","","","Carlas desk - open concept office",""
"","","","","Caroline's Computer -Admin Area",""
"","","","","Carousel",""
"","","","","Cedar Hall",""
"","","","","Cedar Room 19",""
"","","","","Cedar Unit OT",""
"","","","","Centre Office",""
"","","","","Check-In",""
"","","","","Check-in Desk",""
"","","","","Chemistry Tech Spec -Room 1114",""
"","","","","Chief Engineers Office  Boiler Room",""
"","","","","Chief Medical Officer",""
"","","","","Chief Radiologist - adjacent to 1196",""
"","","","","Child Life Desk",""
"","","","","CHS admin",""
"","","","","CHS MANAGER U.V",""
"","","","","CHW Room",""
"","","","","CHW room",""
"","","","","Clayton's office",""
"","","","","Clerical",""
"","","","","clerical cubicle",""
"","","","","clerical Cubicles",""
"","","","","Clerical Shannon",""
"","","","","Clerk Office",""
"","","","","Clinic - Triangle Room",""
"","","","","Clinic 3",""
"","","","","Clinic Area - Triangle room",""
"","","","","Clinic Nurse Station (W16)",""
"","","","","Clinic Room 3",""
"","","","","Clinical Informatics ? Room G253",""
"","","","","Clinical Informatics Office",""
"","","","","Clinical Nurse Lead - Crystal",""
"","","","","CNL Office",""
"","","","","Common Area Right side-back",""
"","","","","Community Health Services",""
"","","","","Computer in MRI Trailer",""
"","","","","Conference Room",""
"","","","","Coordinator",""
"","","","","Covid Screening Rm",""
"","","","","CT Reading",""
"","","","","CT Scan Control Room 2",""
"","","","","Cubicals",""
"","","","","Cubicals-Unit 29",""
"","","","","Cubicle",""
"","","","","cubicle area across from room 117 beside the windo",""
"","","","","Cubicle behind Reception.",""
"","","","","Cubicles",""
"","","","","CV0320",""
"","","","","CV2223",""
"","","","","CV2722",""
"","","","","CV2840 (724)",""
"","","","","CV2857",""
"","","","","CV2901",""
"","","","","CV2901 (@ Out-Patients)",""
"","","","","CV2913",""
"","","","","CV2931",""
"","","","","Deliver to : ATTN: Scott Winslade NRGH Rm B004",""
"","","","","Desk 202",""
"","","","","Desk 221",""
"","","","","Desk 225",""
"","","","","Desk 244",""
"","","","","DESK 267 - CATHY HOLME STN",""
"","","","","Desk 278",""
"","","","","Desk 279",""
"","","","","Diabetes Care Centre 3 cubicles",""
"","","","","Diabetes Care Centre Cubicle",""
"","","","","Diabetes Care Centre cubicle",""
"","","","","Diane Danley's Office Rm # 214",""
"","","","","Dictation Space Outside OR",""
"","","","","Dictation-Outside OR #10",""
"","","","","Dietitian Office",""
"","","","","Doctor's Lounge in Rm 1073",""
"","","","","Donna's office",""
"","","","","Dr Work/ Rest Area",""
"","","","","Dr. Guzder's Laptop",""
"","","","","Dr. Wiggers' Room",""
"","","","","DT1501 WFH",""
"","","","","E 0038",""
"","","","","E0010",""
"","","","","E0013 - Conference Room",""
"","","","","E0014",""
"","","","","E0014 - Trauma Services",""
"","","","","E0017 - Staff room",""
"","","","","E0030 - CERT office/copy room",""
"","","","","E0032",""
"","","","","E0033 - Child Youth & Family Crisis Nurse",""
"","","","","E0034 - Clinical Research Office",""
"","","","","E0038",""
"","","","","E0039",""
"","","","","E0039 - Pharmacy Clinical",""
"","","","","E0039 - WFH",""
"","","","","E0039- Clinical Coordinator - Hailey",""
"","","","","E0046",""
"","","","","E0056A - Porter Office",""
"","","","","E0056B - Supervisor Office",""
"","","","","E1006 - Emergency Protection Services",""
"","","","","E1007 - CNL",""
"","","","","E1060 - Team Consult",""
"","","","","E1068",""
"","","","","E1113 - Medication Room C",""
"","","","","E1129",""
"","","","","E1130",""
"","","","","E1135 - Emergency Supply Room",""
"","","","","E1138",""
"","","","","E1141",""
"","","","","E1141 -  Leadership Team Hallway",""
"","","","","E1141 - Emergency Manager",""
"","","","","E1141 - Office",""
"","","","","E1143 - Physicians Lounge (Desk 1)",""
"","","","","E1143 - Physicians Lounge (Desk 2)",""
"","","","","E1143 - Physicians Lounge (Desk 3)",""
"","","","","E1144",""
"","","","","E1144 - ED Admin",""
"","","","","E1144 - Kim Enslow",""
"","","","","E1144 - On the Shelf",""
"","","","","E1151 - ECG Room",""
"","","","","E1153 - PACS Office Xray Room emergency",""
"","","","","E1169 - Blue area med room",""
"","","","","E1209",""
"","","","","E1209 - Dr.'s Office",""
"","","","","E1209 - Dr's Office",""
"","","","","E1211",""
"","","","","E1211 - Jennifer Boos",""
"","","","","E1213",""
"","","","","E1234",""
"","","","","E1238 - Interview",""
"","","","","E1238 - Trauma",""
"","","","","E1244 - Office",""
"","","","","Eastwood Activities Room",""
"","","","","Eastwood Conference Room",""
"","","","","Eastwood Nursing Station",""
"","","","","ED Entrance - Ambassador Reception",""
"","","","","ED HALLWAY NEAR ADMIN OFFICES",""
"","","","","ED LIASON E1038",""
"","","","","EDS",""
"","","","","Electrical Shop - ""Sacred Space""",""
"","","","","Electrical Shop - ""Sacred Space"" - Office",""
"","","","","Electrical Shop - ?Sacred Space?",""
"","","","","Electrical Shop ED basement",""
"","","","","Emergency",""
"","","","","Emergency Blue",""
"","","","","Emergency Blue - Unit Clerk",""
"","","","","Emergency Blue-BSMT Storage",""
"","","","","Emergency Orange",""
"","","","","Employee Records",""
"","","","","Employee Records/Human Resources",""
"","","","","Environmental Health",""
"","","","","evening HCN",""
"","","","","evening home care nurse",""
"","","","","evenings HCN",""
"","","","","Exam Rm #1",""
"","","","","Exam Rm #2",""
"","","","","Exam Rm #3 Primary User: Marta Kornowska",""
"","","","","Exam Rm #4",""
"","","","","Exam Rm #5",""
"","","","","Exam Room 2",""
"","","","","Facilities & Maintenance",""
"","","","","False",""
"","","","","Film Library area",""
"","","","","Film Library Area",""
"","","","","First  floor HCC Admin office",""
"","","","","first floor",""
"","","","","FMO Office",""
"","","","","FMO Shop",""
"","","","","FMO trailer",""
"","","","","FMO Trailer",""
"","","","","FMO Trailer, Manager�s office",""
"","","","","Foundation Office",""
"","","","","Foundation Offices",""
"","","","","Front (Lobby) Desk",""
"","","","","Front Desk",""
"","","","","Front Entrance",""
"","","","","front lobby",""
"","","","","front office",""
"","","","","Front reception Psychiatry side",""
"","","","","G??? - Dietitian",""
"","","","","G001",""
"","","","","G002",""
"","","","","G0022",""
"","","","","G0026 - Manager",""
"","","","","G0027 - Supervisor's Office",""
"","","","","G003",""
"","","","","G0037",""
"","","","","G0039",""
"","","","","G004",""
"","","","","G004 - Enhanced Discharge Team",""
"","","","","G0040",""
"","","","","G0048",""
"","","","","G0048 - FMO",""
"","","","","G005",""
"","","","","G006",""
"","","","","G009",""
"","","","","G010 - EEG #2",""
"","","","","G011",""
"","","","","G012 - MS Clinic",""
"","","","","G012 - Parkinson's clinic",""
"","","","","G016",""
"","","","","G016 - EEG #1",""
"","","","","G028 - Social Work Office",""
"","","","","G036 - Clinical Nurse Leader",""
"","","","","G037",""
"","","","","G037 - OT Room (Old Conference Room)",""
"","","","","G038 - Rehab Dictation Room",""
"","","","","G039 - Conference Room",""
"","","","","G040 - Nurse Practitioner & hospitalist Office",""
"","","","","G041 (Back Room)",""
"","","","","G044",""
"","","","","G044 - Clinical Pharmacy",""
"","","","","G045",""
"","","","","G045 - Speech Pathology",""
"","","","","G051",""
"","","","","G052",""
"","","","","G052 - Staff Therapists",""
"","","","","G053",""
"","","","","G053 - IORP Office",""
"","","","","G065",""
"","","","","G065 - Swimming Pool",""
"","","","","G069A",""
"","","","","G071",""
"","","","","G074",""
"","","","","G076",""
"","","","","G077",""
"","","","","G077 - in storage",""
"","","","","G077A",""
"","","","","G077A (occ therapy area)",""
"","","","","G078",""
"","","","","G078A",""
"","","","","G080",""
"","","","","G080 - Charting Room",""
"","","","","G080 (Charting Room)",""
"","","","","G081 - Office",""
"","","","","G082",""
"","","","","G082 - Heavy Workshop",""
"","","","","G090 - Booking Desk",""
"","","","","G091",""
"","","","","G093",""
"","","","","G102B",""
"","","","","G102C",""
"","","","","G104 - Mental Health and Addictions Program Social",""
"","","","","G111",""
"","","","","G112",""
"","","","","G112 - Coordinator MHSU",""
"","","","","G116 - ECT Coordinator",""
"","","","","G117",""
"","","","","G162",""
"","","","","G162 - Compounding Area",""
"","","","","G162 - Dispensary Area",""
"","","","","G162 - Pharmacy Purchaser's Office",""
"","","","","G162 - Technician Order Entry",""
"","","","","G162 - Technician's Area",""
"","","","","G162-Dispensary",""
"","","","","G163 - Across hall from (pharmacy entrance)",""
"","","","","G168 - Laura Johnson",""
"","","","","G178B",""
"","","","","G178b",""
"","","","","G178B - Front Office",""
"","","","","G184",""
"","","","","G187",""
"","","","","G187 - Carousel",""
"","","","","G188",""
"","","","","G189 - Stores Supervisor",""
"","","","","G189 - Warehouse",""
"","","","","G189-Stores Supervisor",""
"","","","","G190",""
"","","","","G190 - FMO Admin Office",""
"","","","","G190 - Reception",""
"","","","","G191",""
"","","","","G192",""
"","","","","G193",""
"","","","","G193 - Dean Claughton",""
"","","","","G194",""
"","","","","G194 Material Management Purchasing",""
"","","","","G195",""
"","","","","G198",""
"","","","","G201 Autopsy office",""
"","","","","G207",""
"","","","","G207 - Back Office",""
"","","","","G226 - Storage",""
"","","","","G227 - Housekeeping Supervisors",""
"","","","","G228",""
"","","","","G228 - Reception",""
"","","","","G229 - Manager",""
"","","","","G237",""
"","","","","G237 - Imaging Transcription",""
"","","","","G238",""
"","","","","G238 - Desk 1",""
"","","","","G239 - Clinical Trials",""
"","","","","G239 - WFH - Gail Potvin",""
"","","","","G240 - Dietitian",""
"","","","","G241 - Dietitian",""
"","","","","G246A",""
"","","","","G246B",""
"","","","","G246C",""
"","","","","G246C - Logistics Lead",""
"","","","","G246D",""
"","","","","G248",""
"","","","","G252",""
"","","","","G253",""
"","","","","g253",""
"","","","","G-253",""
"","","","","G253A",""
"","","","","G253B",""
"","","","","G253C",""
"","","","","G254",""
"","","","","G254 - Switchboard",""
"","","","","G255",""
"","","","","G255 - Back Office",""
"","","","","G256 - Desk 1",""
"","","","","G256 - Desk 4",""
"","","","","G256 - Desk 5",""
"","","","","G256 - Desk 6",""
"","","","","G256 - Desk 7",""
"","","","","G256 - Desk 8",""
"","","","","G257",""
"","","","","G258 - Release of Information",""
"","","","","G258 - Release of Information - inside Health Reco",""
"","","","","G260",""
"","","","","G261 - Director",""
"","","","","G262 -  Medical Transcription",""
"","","","","G262 - Medical Transcription",""
"","","","","G262 - WFH - KBarg",""
"","","","","G262 (Inside Health Records)",""
"","","","","G263",""
"","","","","G263 - Clinical Information Services",""
"","","","","G272-Supervisor kitchen",""
"","","","","G272-supervisor office in kitchen",""
"","","","","G284",""
"","","","","G286 - Tara Mcastocker",""
"","","","","G287",""
"","","","","G290",""
"","","","","G291 - Automed Area",""
"","","","","G299",""
"","","","","G308.1 - Respiratory Therapy",""
"","","","","G308.2",""
"","","","","G308.3",""
"","","","","G310.2",""
"","","","","G310B - Office",""
"","","","","G310C - Office",""
"","","","","G310D - Office",""
"","","","","G311 - Workstation",""
"","","","","G315.1 - Physician Sleep/workstation",""
"","","","","G315.2 - Physician Sleep/workstation",""
"","","","","G407-Waiting Room Across Endoscopy",""
"","","","","G408 - Beside Reception",""
"","","","","G409-Beside Admissions",""
"","","","","G414 - OR3",""
"","","","","G415 - Endoscopy Nurses Station",""
"","","","","G417",""
"","","","","G417 - Dictation Room",""
