"City","Location","Building","Floor","Room","Department"
"","VIHA-NBCBC-Nanaimo Boundary Crescent Beaufort Centre-Main Building-1st Floor","6551 Aulds Raod","G","1012","ALC Courtyard"
"","VIHA-NBC-Nanaimo Bowen Centre","6551 Aulds Rd","G262","1012 - WFH","Ambulatory"
"","VIHA-NBC-Nanaimo Bowen Centre-Main Building-1st Floor","6551 Aulds Road","GROUND","1013","Ambulatory Care"
"","VIHA-NBRMC-Nanaimo Bowen Road Madrona Clinic","925 Bowen Rd","Ground","1014","Antimicrobial Stewardship"
"","VIHA-NBRMC-Nanaimo Bowen Road Madrona Clinic-Main Building-1st Floor","Admin","ground","1019","AP Automation"
"","VIHA-NCDF-Nanaimo Community Dialysis Facility","Amb","Ground Floor","102","Arbutus"
"","VIHA-NCDF-Nanaimo Community Dialysis Facility-Main Building-1st Floor","Ambulatory","Main","1027","Arbutus Wing"
"","VIHA-NCMC-Nanaimo Colville Medical Center-Main Building","ambulatory care","Main Building","103","Audiology"
"","VIHA-NCMC-Nanaimo Colville Medical Center-Main Building-3rd Floor","Annex","Main Building-2nd Floor","1031 - Clinical Coordinator","BCNU Shop Stewards"
"","VIHA-NCST-Nanaimo Chapel Street","Back","Main floor","1032 - STR Room","Biomed"
"","VIHA-NCST-Nanaimo Chapel Street-Main Building-Main Building-1st Floor","CISC","Main Floor","1039","Biomed Engineering"
"","VIHA-NDBC-Nanaimo Dufferin Boundary Crescents","Clearview Detox","main floor - audiology","104","Biomedical Engineering"
"","VIHA-NDBC-Nanaimo Dufferin Boundary Crescents-Main Building","Critical Care","Room 2","104 - Dietetian Office","Birch Wing"
"","VIHA-NDBC-Nanaimo Dufferin Boundary Crescents-Main Building-1st Floor","Deliver to: NRGH, B004, Attn: Andrew Hill","Second Floor","104 - Dietitian","Booking/Pre-Admit Clerks"
"","VIHA-NDC-Nanaimo Dufferin Centre-Main Building","Deliver to: NRGH, Device Integration, B004 Attn: Andrew Hill","Tower","104 (Interview room)","Brain Injury Program"
"","VIHA-NDC-Nanaimo Dufferin Centre-Main Building-1st Floor","Device Integration - B004 Attn: Andrew Hill","Upper level","1044 - Hospitalist","Cancer"
"","VIHA-NDHF-Nanaimo & District Hospital Foundation-Main Building","Dufferin","Upper Level","1047A - Clinical Nurse Leader ICU","Cancer Clinic"
"","VIHA-NDHF-Nanaimo & District Hospital Foundation-Main Building-1st Floor","Dufferin Place","WFH","104A","Cancer clinic"
"","VIHA-NER-Nanaimo Estevan Road","Dufferin place","","104a - CNL office","Cancer Clinic Pharmacy"
"","VIHA-NER-Nanaimo Estevan Road-Main Building","Eagle Park","","104B","Cancer Clinic Reception"
"","VIHA-NER-Nanaimo Estevan Road-Main Building-1st Floor","Emergency","","104C","Cancer clinic Reception"
"","VIHA-NER-Nanaimo Estevan Road-Main Building-2nd Floor","EOC","","104e","Capacity Development | LTC"
"","VIHA-NER-Nanaimo Estevan Road-Main Building-3rd Floor","Eric Martin Pavilion","","104F","Capital Finance"
"","VIHA-NHC-Nanaimo Health Centre","Family Place, Parksville","","105","Cardiac Ambulatory"
"","VIHA-NHC-Nanaimo Health Centre-Main Building","FMO Portable","","1055","Cardiac Ambulatory, Heart Health"
"","VIHA-NHC-Nanaimo Health Centre-Main Building-1st Floor","Hospital Commons","","1058 (beside ICU Educator Office 1059)","Cardiac and Internal Medecine"
"","VIHA-NHC-Nanaimo Health Centre-Main Building-2nd Floor","Hospital Commons - Unit 7","","105-Telehealth","Cardiac and Internal Medicine"
"","VIHA-NLFR-Nanaimo Littleford Road-Main Building-1st Floor","HSBC","","106","Cardiac and Internal Medicine Ward"
"","VIHA-NMHAS-Nanaimo Mental Health & Addiction Services","ICU","","1060","Cardiac EDS IP"
"","VIHA-NMHAS-Nanaimo Mental Health & Addiction Services-Main Building","ICU Building","","1060 - RTS Staff Room","Cardiac Electrodiagnostics"
"","VIHA-NMHAS-Nanaimo Mental Health & Addiction Services-Main Building-1st Floor","Integrated Primary & Community Care","","1066","Carpentry"
"","VIHA-NMMC-Nanaimo Millstone Medical Centre","Kidney Care Clinic","","1066 - Temp room (WFH)","Case Management"
"","VIHA-NMMC-Nanaimo Millstone Medical Centre-Main Building-2nd Floor","Madrona Clinic","","1066 - WFH","Case Manager's"
"","VIHA-NMRI-Nanaimo MRI","main","","106A","Case Mgt BIP"
"","VIHA-NRGH-Nanaimo Regional General Hospital","MAIN","","107","Cast Clinic"
"","VIHA-NRGH-Nanaimo Regional General Hospital-Ambulatory","Main","","107 - Ingrid Flynn","CBC Nanaimo Occupational Ther"
"","VIHA-NRGH-Nanaimo Regional General Hospital-Ambulatory-Basement 1","Main - 203","","107 - Registered Dietician","CCF-Child"
"","VIHA-NRGH-Nanaimo Regional General Hospital-Ambulatory-Ground Floor","Main - 208 Back","","1071 - Physician's Lounge","CDF-Nanaimo Clinic"
"","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","Main �- Heart Health EDS","","1072","CDH Implement - Clinical"
"","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main building","","1073","CDM ASTAT"
"","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","","1074 - Boardroom","CDM Mental Health Admin"
"","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-3rd Floor","Main Building - 203","","1075","CDT"
"","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-4th Floor","Main Building - Unit 206","","1075 - Internal Medicine Office","Cedar"
"","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-5th Floor","Main Building (Hospital Commons)","","1076 - Sleep Space","Cedar Ward"
"","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-6th Floor","Main Entrance","","1077","Cedar Wing"
"","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main-13","","1077 - Office","Central Island Child and Youth Eating Disorders Program"
"","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Mall","","1078","Central Island Laboratory"
"","VIHA-NRGH-Nanaimo Regional General Hospital-Payroll Portable-1st Floor","MDO","","1078 - Office","CHCP Hospital at Home"
"","VIHA-NSFC-Nanaimo Seafield Crescent","MDO-Metral Drive Offices","","1079","Chemainus LTC"
"","VIHA-NSFC-Nanaimo Seafield Crescent-Main Building","Memorial Pav","","1079 - Hospitalist","Chief Medical Officer"
"","VIHA-NSFC-Nanaimo Seafield Crescent-Main Building-1st Floor","Metral Drive","","1079 - Hospitalist Office","Child Youth & Family Mental Health Acute Care"
"","VIHA-NSFC-Nanaimo Seafield Crescent-Main Building-2nd Floor","Metral Drive HR","","108","CHW Home Support"
"","VIHA-NSFC-Nanaimo Seafield Crescent-Main Building-Basement 1","Metral Drive Office","","108 - Registered Social Worker","CI Ambulatory & Endoscopy"
"","VIHA-NSL-Nanaimo Serenity Lodge","Metral Main Building","","1083 - Blood Bank","CI Medical Imaging"
"","VIHA-NSL-Nanaimo Serenity Lodge-Main Building-1st Floor","MHSU Brooks Landing","","1083 - Blood bank","CI Surgical Program"
"","VIHA-NWPS-Nanaimo Wentworth & Prideaux Street-Main Building","Millstone Medical Centre","","1083- Blood Bank","CI/NI Biomedical Engineering"
"","VIHA-NWPS-Nanaimo Wentworth & Prideaux Street-Main Building-1st Floor","Mobile","","1084 - MLA Supervisor","CI/NI Comm&Prim Care Adm"
