"name","asset_tag","serial_number","location.city","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","u_last_rounded_date","u_device_rounding","u_department_location","location.u_deskside_assignment_group"
"LD031707","HSS-8077347","F3R45X3","Courtenay","VIHA-CVHCC-Comox Valley Home & Community Care-Main Building-1st Floor","Main Building","Room 128","1","VIHATRP20230814-049","09/30/2027","05/22/2025","General Rounding","CCD Admin Support-Comox","NTT-Deskside Services-NorthIsland-Local"
"LD031747","HSS-8059284","7F8C3J3","Courtenay","VIHA-CCA-Courtenay Cliffe Avenue-Main Building-1st Floor","Main Building","38","1","VIHATRP20220620-010","11/30/2026","03/25/2024","General Rounding","","NTT-Deskside Services-NorthIsland-Local"
"LD031857","HSS-8026647","8G434J3","Comox","VIHA-SJC-St. Joseph's Campus-Main Building-3rd Floor","Main Building","313","3","VIHATRP20220214-028","06/30/2026","01/09/2026","General Rounding","Human Resources","NTT-Deskside Services-NorthIsland-Local"
"LD031964","HSS-8077308","DWNY4X3","Courtenay","VIHA-CVCHC-Comox Valley Community Health Centre-Main Building-1st Floor","Main Building","11 (Vaccine Room)","1","VIHATRP20230814-010","09/30/2027","04/16/2025","General Rounding","Public Health","NTT-Deskside Services-NorthIsland-Local"
"LD031965","HSS-8072881","HVP1NN3","Courtenay","VIHA-CCA_92-Courtenay Cliffe Avenue (#92)-Main Building-1st Floor","Main Building","18","1","VIHATRP20230313-007","05/31/2027","12/19/2025","General Rounding","Mental Health Services","NTT-Deskside Services-NorthIsland-Local"
"LD032037","HSS-8077337","5YP05X3","Courtenay","VIHA-CVHCC-Comox Valley Home & Community Care-Main Building-1st Floor","Main Building","Room 129","1","VIHATRP20230814-039","09/30/2027","05/23/2025","General Rounding","Physiotherapy Comox Valley Home & Community Care","NTT-Deskside Services-NorthIsland-Local"
"LD032038","HSS-8098348","PF62GAYF","Courtenay","VIHA-CVMHAS-Comox Valley Mental Health & Addiction Services-Main Building-1st Floor","Main Building","","1","ISLHTRP20260413-005","","","General Rounding","Comox Valley MHSU - Jayme's Office","NTT-Deskside Services-NorthIsland-Local"
"LD032038","HSS-8074874","69V1JW3","Courtenay","VIHA-CVMHAS-Comox Valley Mental Health & Addiction Services-Main Building-1st Floor","Main Building","16","1","VIHATRP20230605-093","07/31/2026","04/30/2024","General Rounding","Comox Valley Admin","NTT-Deskside Services-NorthIsland-Local"
"LD032227","HSS-8072924","5CZFLN3","Courtenay","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","CV0626 (Nancy Mareck)","0","VIHATRP20230313-073","05/31/2027","05/08/2024","General Rounding","Telehealth","NTT-Deskside Services-NorthIsland-Staffed"
"LD032464","HSS-8066791","CWQ3NN3","Courtenay","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","CV0620 (WFH Sarah Burrell)","0","VIHATRP20220926-001","01/31/2027","02/07/2024","Excluded","Information Management/Information Technology (IM/IT)","NTT-Deskside Services-NorthIsland-Staffed"
"LD032465","HSS-8014873","PC0UA59S","Courtenay","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","CV0625","0","","02/28/2022","02/06/2024","General Rounding","Clinical Informatics","NTT-Deskside Services-NorthIsland-Staffed"
"LD032468","HSS-8068882","B0Z1NN3","Courtenay","VIHA-AMHO-Auxiliary Mental Health Office","Main Building","F8","1","VIHATRP20221121-006","01/31/2027","05/02/2024","General Rounding","Home Care Nursing","NTT-Deskside Services-NorthIsland-Local"
"LD032469","HSS-8059292","1C554J3","Courtenay","VIHA-CCA-Courtenay Cliffe Avenue-Main Building-1st Floor","Main Building","Office to the left of reception.","1","VIHATRP20220620-018","11/30/2026","03/25/2024","General Rounding","Community Health Services (CHS)","NTT-Deskside Services-NorthIsland-Local"
"LD032470","HSS-8059296","4VC34J3","Cumberland","VIHA-CHC-Cumberland Health Centre-Main Building-1st Floor","Main Building","Manager Office","1","VIHATRP20220620-022","11/30/2026","03/19/2026","General Rounding","Nursing","NTT-Deskside Services-NorthIsland-Local"
"LD032471","HSS-8084538","GCZ89W3","Courtenay","VIHA-CVCHC-Comox Valley Community Health Centre-Main Building-1st Floor","Main Building","7","1","VIHATRP20240318-006","04/30/2028","04/16/2025","General Rounding","Public Health","NTT-Deskside Services-NorthIsland-Local"
"LD032578","HSS-8077378","8M205X3","Courtenay","VIHA-RHARF-Ryan Hill Apartments Residential Facility-Main Building-1st Floor","Main Building","214","1","VIHATRP20230814-079","09/30/2027","","General Rounding","CV/CR Admin Suppport","NTT-Deskside Services-NorthIsland-Local"
"LD032720","HSS-8090361","HJ6TQW3","Courtenay","VIHA-CVMHAS-Comox Valley Mental Health & Addiction Services-Main Building-1st Floor","Main Building","Room 2 at 92-1742 Cliffe","1st Floor","VIHATRP20241007-025","11/30/2028","","General Rounding","Comox Valley/CR MHSU","NTT-Deskside Services-NorthIsland-Local"
"LD032721","HSS-8079331","967ZFY3","Courtenay","VIHA-NICYF-North Island Child, Youth & Family-Main Building-1st Floor","Main Building","13.5 (Audiologist)","1","VIHATRP20230916-014","11/30/2027","11/20/2025","General Rounding","Audiology","NTT-Deskside Services-NorthIsland-Local"
"LD032722","HSS-8077300","1Q1Y4X3","Cumberland","VIHA-CHC-Cumberland Health Centre-Main Building-1st Floor","Main Building","Manager's Office","1","VIHATRP20230814-002","09/30/2027","","General Rounding","","NTT-Deskside Services-NorthIsland-Local"
"LD033197","HSS-8077306","HDSY4X3","Courtenay","VIHA-CVCHC-Comox Valley Community Health Centre","Main","22","1","VIHATRP20230814-008","09/30/2027","","General Rounding","Nutrition","NTT-Deskside Services-NorthIsland-Local"
"LD033201","HSS-8077321","FF4Z4X3","Courtenay","VIHA-CVHCC-Comox Valley Home & Community Care-Main Building-1st Floor","Main Building","Room 129","1","VIHATRP20230814-023","09/30/2027","05/23/2025","General Rounding","CCD Admin Support-Comox","NTT-Deskside Services-NorthIsland-Local"
