"City","Location","Building","Floor","Room","Department"
"","","","","CV0620 (WFH Sarah Burrell)","MHSU Contracts Department - WFH Michelle Hamilton"
"","","","","CV0620 (WFH)","MHSU Operations CI/NI Admin"
"","","","","CV0620 (working from home)","Minor Day Procedures"
"","","","","CV0620 IMIT OFFICE","Nan MHSU Comm Brooks Landing"
"","","","","CV0620 WFH","Nanaimo CAC"
"","","","","CV0620-WFH  Ashley Schumann","Network & Solutions Admin"
"","","","","CV0624","Network Architecture"
"","","","","CV0625","NI Regional Laundry"
"","","","","CV0626","NIH P3"
"","","","","CV0626 (Nancy Mareck)","NIH Protection Services"
"","","","","CV0626 (Val's desktop from CR)","North Island Community Access"
"","","","","CV0627","North Island Laboratory-CVH/MW"
"","","","","CV0702","Nuclear Medicine"
"","","","","CV0704","Nurse Intake"
"","","","","CV0705","Nursing"
"","","","","CV0706","Nutrition"
"","","","","CV0706 ESS","Nutrition Services"
"","","","","CV0805","Occupational Health"
"","","","","CV0806","Occupational Therapy"
"","","","","CV0830","OH&S"
"","","","","CV0901","Operating Room"
"","","","","CV0930","Ophthalmology"
"","","","","CV0931","OPS"
"","","","","CV0932","OR"
"","","","","CV0948","OR Booking"
"","","","","CV0949","Outpatient Nutrition"
"","","","","CV1072","Patient & Material Logistics"
"","","","","CV1101","Patient Care Quality Office"
"","","","","CV1104","Patient Liaison"
"","","","","CV1105","Patient Quality"
"","","","","CV1106","Pediatrics"
"","","","","CV1108","Peds"
"","","","","CV1121","Pharmacy"
"","","","","CV1123","Pharmacy Clinical Services"
"","","","","CV1142","Pharmacy Office"
"","","","","CV1146","PHN Regional Audiology"
"","","","","CV1146 - Physiotherapy","PHV School Health & Wellness"
"","","","","CV1147 (724)","Physician Contracts"
"","","","","CV1161","Physio Therapy"
"","","","","CV1162","Physiotherapy"
"","","","","CV1162 - Physiotherapy","Physiotherapy Comox"
"","","","","CV1163","Physiotherapy Comox Valley Home & Community Care"
"","","","","CV1163 Primary User: Tara Pollock","Plant Maintenance"
"","","","","CV1165 - Physiotherapy","Porter Service"
"","","","","CV1171","Porter Services"
"","","","","CV1172","Portfolio Leader GEO1"
"","","","","CV1172 - Primary User: Hailey Smith","Profession Practice Team A"
"","","","","CV1173","Professional Practice Team D"
"","","","","CV1174 - Speech Therapy","Projects - Facilities Design and Construction"
"","","","","CV1179","Protection Services"
"","","","","CV1210","Provider Education & Standards"
"","","","","CV1300","PSO"
"","","","","CV1300 - Patient Wait List","Psychiarty Inpatient Unit"
"","","","","CV1300 (724)","Psychiatric Inpatient Unit"
"","","","","CV1300 Security Camera","Psychiatry Inpatient Unit"
"","","","","CV1315","Public Health"
"","","","","CV1315 Security Camera","Public Health Informatics"
"","","","","CV1410","Public Health Nursing-Re1"
"","","","","CV1411","Records Management"
"","","","","CV1412","Records Mgmt & Transcription"
"","","","","CV1430","Regional Audiology"
"","","","","CV1430 (724)","Registration"
"","","","","CV1431","Rehabilitation Therapy"
"","","","","CV1433","Renal Services CI/NI"
"","","","","CV1433 (724)","Research and Capacity Planning"
"","","","","CV1447","Respiratory Therapists"
"","","","","CV1463","Respiratory Therapy Servic"
"","","","","CV1465","Ryan Hill Apts"
"","","","","CV1466","Sand-Comox Admin"
"","","","","CV1472","Scheduler Onsite/WFH"
"","","","","CV1473","Schedulers Onsite/WFH"
"","","","","CV1481","SCN"
"","","","","CV1500","Security Systems"
"","","","","CV1500 (724)","SI Case Mngt Rehab & EPI"
"","","","","CV1503","Site Support and Business Services"
"","","","","CV1506","Social Work"
"","","","","CV1508","Speech Therapy"
"","","","","CV1509","Speech/Language-Re1"
"","","","","CV1511","Surgical Daycare"
"","","","","CV1512","Surgical Services"
"","","","","CV1514","Surgical Services - PACU"
"","","","","CV1515","Te"
"","","","","CV1516","Telehealth"
"","","","","CV1517","Telehealth Virtual Care"
"","","","","CV1518","Telemetry"
"","","","","CV1519","Therapy and Activation Office"
"","","","","CV1520 - Psychiatry","Transitional Care Unit"
"","","","","CV1521","Triage - Patient Wait List"
"","","","","CV1522","UBC"
"","","","","CV1522 - Primary User: Angie Swann","UBC (WFH)"
"","","","","CV1523","UBC Collaborations Rooms"
"","","","","CV1528","UBC Faculty of Medicine"
"","","","","CV1529","UBC Teaching"
"","","","","CV1531","Ultrasound"
"","","","","CV1536","Unknown"
"","","","","CV1541 Primary user: Andrea Ditchfield","Unknown (Nicole Martin - WFH)"
"","","","","CV1542","Virtual Care"
"","","","","CV1544","Volunteer Resources"
"","","","","CV1545","VP Office"
"","","","","CV1546","Wellness Center"
"","","","","CV1547 - Psychiatry","Wellness Centre"
"","","","","CV1548","Wellness Outpatient Procedures"
"","","","","CV1551","WFH - Ashley Harrill"
"","","","","CV1552","WFH - Candace Chapman"
"","","","","CV1552 - WFH Barb Brock","WFH - Gilbert, Laura J (Dr)"
"","","","","CV1553","WFH - Ingelise Fraser"
"","","","","CV1555","WFH - Jennifer Lawless"
"","","","","CV1556","WFH - Kathryn Houlihan"
"","","","","CV1557","WFH - Megan Holmes"
"","","","","CV1558","WFH - Megan Schulz"
"","","","","CV1562","WFH - Porteous-Miller"
"","","","","CV1562 (724)","WFH - Shaunna Downey"
"","","","","CV1564","WFH - Susan Conley"
"","","","","CV1568","WFH - Tara Mcastocker"
"","","","","CV1582","wfh user"
"","","","","CV1582 - Cancer Clinic",""
"","","","","CV1584",""
"","","","","CV1584 (724)",""
"","","","","CV1585",""
"","","","","CV1585 (724)",""
"","","","","CV1586",""
"","","","","CV1590",""
"","","","","CV1605",""
"","","","","CV1611",""
"","","","","CV1612",""
"","","","","CV1620",""
"","","","","CV1628",""
"","","","","CV1630",""
"","","","","CV1630 (724)",""
"","","","","CV1630 Security Camera ER",""
"","","","","CV1633",""
"","","","","CV1633 (724)",""
"","","","","CV1701",""
"","","","","CV1702",""
"","","","","CV1703",""
"","","","","CV1705",""
"","","","","CV1705 (loaned to ER CV1925) - in cupboard",""
"","","","","CV1706",""
"","","","","CV1707",""
"","","","","CV1707 - Nuclear Medicine",""
"","","","","CV1708",""
"","","","","CV1722",""
"","","","","CV1722 (724)",""
"","","","","CV1725",""
"","","","","CV1725 (Amanda DeForge Working from home)",""
"","","","","CV1727",""
"","","","","CV1741",""
"","","","","CV1741 - OR",""
"","","","","CV1742",""
"","","","","CV1742 - OR",""
"","","","","CV1744",""
"","","","","CV1746",""
"","","","","CV1751 - Endoscopy",""
"","","","","CV1752 - Endoscopy",""
"","","","","CV1772",""
"","","","","CV1772 (724)",""
"","","","","CV1782",""
"","","","","CV1782 - Cystoscopy Clinic",""
"","","","","CV1786",""
"","","","","CV1800",""
"","","","","CV1800 (724)",""
"","","","","CV1811",""
"","","","","CV1829",""
"","","","","CV1834",""
"","","","","CV1853",""
"","","","","CV1854",""
"","","","","CV1854 - WFH Miranda Gudbranson",""
"","","","","CV1855",""
"","","","","CV1856",""
"","","","","CV1858",""
"","","","","CV1859",""
"","","","","CV1860",""
"","","","","CV1861",""
"","","","","CV1862",""
"","","","","CV1864",""
"","","","","CV1870",""
"","","","","CV1873",""
"","","","","CV1873 - Nuclear Medicine",""
"","","","","CV1875",""
"","","","","CV1883",""
"","","","","CV1885",""
"","","","","CV1885 - WFH Bruce Grant",""
"","","","","CV1886",""
"","","","","CV1886 (724)",""
"","","","","CV1888",""
"","","","","CV1891",""
"","","","","CV1900",""
"","","","","CV1902",""
"","","","","CV1904",""
"","","","","CV1907",""
"","","","","CV1907 Primary User: Craig Dickson",""
"","","","","CV1915",""
"","","","","CV1918",""
"","","","","CV1918 (724)",""
"","","","","CV1919",""
"","","","","CV1920",""
"","","","","CV1922",""
"","","","","CV1925",""
"","","","","CV1925 - in cupboard",""
"","","","","CV1925 - WFH STrockstad",""
"","","","","CV2104",""
"","","","","CV2107",""
"","","","","CV2113 - Reception",""
"","","","","CV2114",""
"","","","","CV2118",""
"","","","","CV2120",""
"","","","","CV2125",""
"","","","","CV2129",""
"","","","","CV2141",""
"","","","","CV2142",""
"","","","","CV2143",""
"","","","","CV2144",""
"","","","","CV2145",""
"","","","","CV2146",""
"","","","","CV2147",""
"","","","","CV2148",""
"","","","","CV2149",""
"","","","","CV2150",""
"","","","","CV2151",""
"","","","","CV2152",""
"","","","","CV2161",""
"","","","","CV2161 - maternity reception",""
"","","","","CV2163",""
"","","","","CV2164 - Maternity Med Room",""
"","","","","CV2165",""
"","","","","CV2165 (724)",""
"","","","","CV2177",""
"","","","","CV2177 - Maternity and Children?s back room",""
"","","","","CV2177 (724)",""
"","","","","CV2178",""
"","","","","CV2222",""
"","","","","CV2222 (724)",""
"","","","","CV2223",""
"","","","","CV2300 - Hallway",""
"","","","","CV2301",""
"","","","","CV2310",""
"","","","","CV2311",""
"","","","","CV2314",""
"","","","","CV2316",""
"","","","","CV2318",""
"","","","","CV2318 (724)",""
"","","","","CV2319",""
"","","","","CV2321",""
"","","","","CV2322 - Nursing Station",""
"","","","","CV2324",""
"","","","","CV2326",""
"","","","","CV2329",""
"","","","","CV2401",""
"","","","","CV2402",""
"","","","","CV2406",""
"","","","","CV2407",""
"","","","","CV2408",""
"","","","","CV2409",""
"","","","","CV2421 Users: Drs. Genuis, Thibodeau, Peeling, Blais",""
"","","","","CV2422",""
"","","","","CV2601",""
"","","","","CV2601 Primary user: Tamara Warren",""
"","","","","CV2604",""
"","","","","CV2611",""
"","","","","CV2612",""
"","","","","CV2613",""
"","","","","CV2614",""
"","","","","CV2617",""
"","","","","CV2618",""
"","","","","CV2645",""
"","","","","CV2646",""
"","","","","CV2647",""
"","","","","CV2650",""
"","","","","CV2701 (OR1)",""
"","","","","CV2701 (OR3)",""
"","","","","CV2702 (OR2)",""
"","","","","CV2703 (OR Hall)",""
"","","","","CV2703 (OR3)",""
"","","","","CV2704 (OR4)",""
"","","","","CV2705 (OR4)",""
"","","","","CV2705 (OR5)",""
"","","","","CV2706 (OR6)",""
"","","","","CV2707 (OR Core)",""
"","","","","CV2708 (OR Sterile Core)",""
"","","","","CV2721",""
"","","","","CV2722",""
"","","","","CV2724",""
"","","","","CV2732 (OR Hall)",""
"","","","","CV2734 (OR Hall)",""
"","","","","CV2734 (OR5)",""
"","","","","CV2820",""
"","","","","CV2820 (724)",""
"","","","","CV2821",""
