City,Location,Building,Floor,Room,Department
,,,,1104 (Ultrasound Hallway),Lab Pre-Analytics
,,,,1105 (Ultrasound Room 1),Laboratory
,,,,1107,Laundry Services
,,,,1107 (Manager Office),Logistics/Fire Prevention
,,,,1109 (Reception),Long Term Care
,,,,1109 (Ultrasound Tech Room 3/4),Margaret Moss Public Health Unit
,,,,111 (Exam Room) First Aid Room,Maternity
,,,,111 (LH Desk),Maternity Clinic
,,,,111 (RH Desk),Medical
,,,,1110 (Office),Medical / Surgical Care
,,,,1111 (Ultrasound Office),Medical Booking
,,,,1113 (CRT Room),Medical Device Reprocessing Department (MDRD)
,,,,1117 (Trauma Room),Medical Imaging
,,,,1118A (Tyler Smith),Medical Records
,,,,1118B (Education Room),Medicine
,,,,112,Mental Health
,,,,112 (Administration),Mental Health Adults
,,,,112 (Clinic Room),Mental Health Substance Abuse
,,,,112 (CN),Nursing
,,,,112 (CNL Office),Occupational Health and Safety
,,,,112 (not connected),Occupational Therapy
,,,,1127 (ECG),Operating Rooms
,,,,1128 (EMRG Hallway),OR Booking
,,,,1128 (Fast Track Room),Orthopedic Clinic
,,,,1128 (Med Room),Outreach
,,,,1128 (Nurse Station),Palliative Care
,,,,1128 (Outside Trauma - Lab Machine),Palliative End of Life
,,,,1128 (Physicians Station - Back Wall),Pathology
,,,,1128 (Physicians Station - Standing),Pharmacy
,,,,1128 (Physicians Station),Physiotherapy
,,,,112B (),Post Anesthetic Care Unit (PACU)
,,,,113,Practice Support Team
,,,,1130 (Outside Triage),Protection Services
,,,,1130 (Triage),Psychiatry
,,,,1134 (ACU Back Hallway),Public Health
,,,,1134 (ACU Hallway),Rehabilitation
,,,,1134 (Nurse Station),Respiratory Therapy
,,,,1137 (Procedure Room 1),Scheduling
,,,,114,Seniors Outreach Team
,,,,114 (Long Term Care - Nurse Station),Social Work
,,,,114 (Shared Office),Spiritual Health
,,,,1140 (Endoscopic Suite),Spiritual Services
,,,,1143NW (Mammo Exam Room),Staff Scheduling
,,,,1145 (Waiting Room Office),Stores
,,,,114A,SUIT - Substance Use Integrated Team
,,,,114B,Support Services
,,,,114B (SMARTDOP Machine),Surgical Daycare
,,,,115 (Activities Aide),Surgical Services
,,,,115 (Child Youth & Family Services),Surgical Services Admin
,,,,115 (W46),Switchboard
,,,,115 (W47),Talent Aquis and Retn Adm
,,,,115 (W48),Technology Systems Support
,,,,115 (W49),Training
,,,,115 (W50),Triage
,,,,115 (W51),Ultrasound
,,,,115 (W52) Education Desk,University of Victoria
,,,,115 (W53),Urgent Care
,,,,115 (W54),Urgent Primary Care
,,,,116,Virtual Care Services
,,,,116 (W55),Work From Home
,,,,116 (W56),Workforce Optimization
