"name","asset_tag","serial_number","location.city","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","u_last_rounded_date","u_device_rounding","u_department_location","location.u_deskside_assignment_group"
"LD056632","HSS-8095133","565P774","Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","Home Use","2","ISLHTRP20250825-018","10/31/2029","","General Rounding","Work From Home","NTT-Deskside Services-Cowichan-Local"
"LD056771","HSS-1027831","FB178C3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","339","3","REQ0277591-RITM0290670-SCTASK0447996","09/30/2025","02/09/2026","General Rounding","Medicine","NTT-Deskside Services-Cowichan-Staffed"
"LD057152","HSS-1028670","876P8C3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2043 (2nd Floor Day Room)","2","REQ0312749-RITM0327494-SCTASK0501902","11/30/2025","04/10/2026","General Rounding","Medicine","NTT-Deskside Services-Cowichan-Staffed"
"LD057159","HSS-1028665","6NBB593","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3033 (Clinical Coordinator Office)","3","REQ0313790-RITM0328591-SCTASK0504549","12/31/2025","03/19/2026","General Rounding","Medical","NTT-Deskside Services-Cowichan-Staffed"
"LD057175","HSS-8095896","2FHP774","Duncan","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","TBD","1","ISLHTRP20250922-066","09/30/2029","","General Rounding","Region 4 Scheduling Vict","NTT-Deskside Services-Cowichan-Local"
"LD057176","HSS-1028662","2VJB593","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","NOT FOUND (EMRG - Triage)","1","REQ0315635-RITM0330481-SCTASK0508043","10/31/2025","02/13/2026","General Rounding","Emergency","NTT-Deskside Services-Cowichan-Staffed"
"LD057407","HSS-1029440","GS678C3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G029B (Nurse Educator Office)","G","REQ0312725-RITM0327470-SCTASK0566934","11/30/2025","04/17/2026","General Rounding","Clinical Education","NTT-Deskside Services-Cowichan-Staffed"
"LD057494","HSS-1030267","7YT88C3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1025 (Surgical Services)","1","REQ0369450-RITM0386991-SCTASK0598648","12/31/2025","03/12/2026","General Rounding","Clinical Informatics","NTT-Deskside Services-Cowichan-Staffed"
"LD057524","HSS-8096299","PF5SLNED","Duncan","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","D090","1","ISLHTRP20251027-001","12/31/2029","","General Rounding","Cowichan Valley PCN","NTT-Deskside Services-Cowichan-Local"
"LD057529","HSS-1030492","69RM5G3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1025 (Surgical Services)","1","REQ0369446-RITM0386987-SCTASK0606816","01/31/2026","03/12/2026","General Rounding","Clinical Informatics","NTT-Deskside Services-Cowichan-Staffed"
"LD057570","HSS-8096300","PF5SCC88","Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","219 (W129)","2","ISLHTRP20251027-002","12/31/2029","01/23/2026","General Rounding","Implement-Proj Mgmt Office","NTT-Deskside Services-Cowichan-Local"
