"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"PC032167","JD7JRH3 MONITOR P2421D","","JD7JRH3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G101 (Pharmacy - Front)","G","164446","","NTT-Deskside Services-Cowichan-Staffed"
"PC079951","PC079951","HSS-8059345","JDHMVF3","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","X-Ray (Nurse Station)","1","REQ1511941-RITM1595044-SCTASK2568784","10/31/2030","NTT-Deskside Services-Cowichan-Local"
"PC040835","PC040835","HSS-8070759","JDNSVP3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Physicians Station)","","VIHATRP20230109-066","03/31/2031","NTT-Deskside Services-Cowichan-Staffed"
"PC031852","PC031852","HSS-8083284","JDS6PW3","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3329 (Chemotherapy & Medical Daycare Office)","3","VIHATRP20240205-093","04/30/2032","NTT-Deskside Services-Cowichan-Staffed"
"PC049553","PC049553","HSS-8077223","JFDPQT3","VIHA-DMHC-Duncan Mental Health Centre-Main Building-1st Floor","Main Building","3","1","VIHATRP20230807-010","10/31/2031","NTT-Deskside Services-Cowichan-Local"
"TD001672","TD001672","HSS-8078986","JGC5PW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","253 (W109) - Alison Gardner","2","VIHATRP20231003-019","12/31/2031","NTT-Deskside Services-Cowichan-Local"
"LD061549","LD061549","HSS-8023692","JGFHGC3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","137 (W6)","1","VIHATRP20210816-055","02/28/2030","NTT-Deskside Services-Cowichan-Local"
"LD048241","LD048241","HSS-8092731","JGGNG14","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","132","1","ILSHTRP20250324","06/30/2033","NTT-Deskside Services-Cowichan-Local"
"LD021029","LD021029","HSS-8079032","JGS5PW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","268 (W117) Kelsey","2","VIHATRP20231003-044","12/31/2031","NTT-Deskside Services-Cowichan-Local"
"LD027259","LD027259","HSS-8076572","JHGRVP3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","125 (Home & Community Care)","1","VIHATRP20230717-071","09/30/2031","NTT-Deskside Services-Cowichan-Local"
"PC034370","PC034370","HSS-8070730","JHNSVP3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1021 (Dictation Room)","","VIHATRP20230109-048","03/31/2031","NTT-Deskside Services-Cowichan-Staffed"
"PC075743","PC075743","HSS-1940440","JHQ4W14","VIHA-CUPCC-Cowichan Urgent Primary Care Centre-Main Building-2nd Floor","Main Building","211","2","DMND0005307","04/30/2033","NTT-Deskside Services-Cowichan-Local"
"PC031441","PC031441","HSS-8058846","JHVJRH3","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","Laboratory (Core Lab)","","VIHATRP20220523-041","08/31/2030","NTT-Deskside Services-Cowichan-Local"
"PC075743","PC075743","HSS-1940439","JJ24TY3","VIHA-CUPCC-Cowichan Urgent Primary Care Centre-Main Building-2nd Floor","Main Building","211","2","DMND0005307","07/31/2032","NTT-Deskside Services-Cowichan-Local"
"PC032986","PC032986","HSS-8080383","JJ47PW3","VIHA-DMHC-Duncan Mental Health Centre-Main Building-1st Floor","Main Building","Reception","1","VIHATRP20231113-009","01/31/2032","NTT-Deskside Services-Cowichan-Local"
"LD032391","LD032391","HSS-8024284","JJJKGC3","VIHA-LMH-Lady Minto Hospital-Lionel Beach Annex-2nd Floor","Annex Building","24","2","VIHATRP20210913-016","03/31/2030","NTT-Deskside Services-Cowichan-Remote"
"","LD062840","HSS-1047400","JJW4VZ3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","223 (W137)","2","REQ1366227-RITM1441077-SCTASK2371425","10/31/2032","NTT-Deskside Services-Cowichan-Local"
"LD081382","LD081382","HSS-1110209","JKGNG14","VIHA-CHCC-Chemainus Health Care Centre-Main Building-Basement 1","Main Building","L137 (Adult Day Program Office)","G","REQ1648730-RITM1740001-SCTASK2802623","06/30/2033","NTT-Deskside Services-Cowichan-Local"
"LD040112","LD040112","HSS-8079044","JKH5PW3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","C418","1","VIHATRP20231003-054","12/31/2031","NTT-Deskside Services-Cowichan-Local"
"LD073620","LD073620","HSS-1043490","JKKQQT3","VIHA-DGSHC-Duncan Government Street Health Centre-Main Building-1st Floor","Main Building","09 ()","1","REQ1027475-RITM1081098-SCTASK1724624","09/30/2031","NTT-Deskside Services-Cowichan-Local"
"LD057606","LD057606","HSS-1030543","JKNKGC3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","217 (W127) Geraldine Blair-Speirs","2","REQ0375609-RITM0393448-SCTASK0624126","01/31/2030","NTT-Deskside Services-Cowichan-Local"
"LD030743","LD030743","HSS-8022159","JKPHL93","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","WFH - Home Office (VPN)","1","VIHATRP20210607-031","11/30/2029","NTT-Deskside Services-Cowichan-Staffed"
"LD085376","LD085376","HSS-1038329","JL170N3","VIHA-DJS-Duncan Jubilee Street-Main Building-1st Floor","Main Building","3 RM3 (Heather's Office)","1","REQ0672699-RITM0706700-SCTASK1172366","12/31/2030","NTT-Deskside Services-Cowichan-Local"
"PC038465","PC038465","HSS-8060452","JL660N3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Physicians Station)","1","VIHATRP20220725-115","09/30/2030","NTT-Deskside Services-Cowichan-Staffed"
"LD090058","LD090058","HSS-1038769","JLR60N3","VIHA-LCHU-Lake Cowichan Health Unit-Main Building-1st Floor","Main Building","2(CN)","1","REQ0717882-RITM0754307-SCTASK1205080","12/31/2030","NTT-Deskside Services-Cowichan-Local"
"LD031751","LD031751","HSS-8076502","JMNTVP3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","WFH","1","VIHATRP20230717-009","09/30/2031","NTT-Deskside Services-Cowichan-Local"
"PC077497","PC077497","HSS-1985560","JMX40N3","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2067 (Birthing Room #1)","","DMND0003681","11/30/2030","NTT-Deskside Services-Cowichan-Staffed"
"PC076598","PC076598","HSS-1031401","JN1LGC3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B28 (Staff Scheduling)","","REQ0378899-RITM0396864-RITM0396864","02/28/2030","NTT-Deskside Services-Cowichan-Local"
"PC067001","PC067001","HSS-1048641","JN8LG14","VIHA-LCHC-Ladysmith Community Health Centre","Main Building","140 (Exam Room 6)","1","REQ1521701-RITM1605304-SCTASK2611930","01/31/2033","NTT-Deskside Services-Cowichan-Local"
"LD067610","LD067610","HSS-1046131","JNH3VZ3","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4002 (Pulmonary Function Lab)","4","REQ1257624-RITM1325613-SCTASK2137205","05/31/2032","NTT-Deskside Services-Cowichan-Staffed"
"PC051216","PC051216","HSS-8086875","JNH4TY3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1099 (X-Ray Tech Room 2)","1","VIHATRP20240520-013","07/31/2032","NTT-Deskside Services-Cowichan-Staffed"
"PC023523","PC023523","HSS-8083239","JNH7PW3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B28 (Staff Scheduling)","1","VIHATRP20240205-028","04/30/2032","NTT-Deskside Services-Cowichan-Local"
"PC075720","PC075720","HSS-1940409","JNHHTY3","VIHA-CUPCC-Cowichan Urgent Primary Care Centre-Main Building-1st Floor","Main Building","113","1","DMND0005307","09/30/2032","NTT-Deskside Services-Cowichan-Local"
"LD046200","LD046200","HSS-8091930","JP8LG14","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","WFH","1","VIHATRP20250120","01/31/2033","NTT-Deskside Services-Cowichan-Local"
"PC038165","PC038165","HSS-8079079","JPS5PW3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1092 (Medical Imaging Booking)","1","VIHATRP20231003-077","12/31/2031","NTT-Deskside Services-Cowichan-Staffed"
"PC035510","PC035510","HSS-1985373","JQ1MVF3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1N (OR1)(CADI)","1","DMND0003653 EMP","09/30/2030","NTT-Deskside Services-Cowichan-Staffed"
"LD081218","LD081218","HSS-1048996","JQCLG14","VIHA-DMHC-Duncan Mental Health Centre-Main Building-1st Floor","Main Building","29","1","REQ1312797-RITM1384477-SCTASK2641956","01/31/2033","NTT-Deskside Services-Cowichan-Local"
"LD060547","LD060547","HSS-1036049","JQM60N3","VIHA-LCHU-Lake Cowichan Health Unit-Main Building-1st Floor","Main Building","","1","REQ0622991-RITM0654396-SCTASK1034600","09/30/2030","NTT-Deskside Services-Cowichan-Local"
"PC033918","PC033918","HSS-8076590","JQNTVP3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","FPC Provider Area","1","VIHATRP20230717-085","09/30/2031","NTT-Deskside Services-Cowichan-Local"
"LD027163","LD027163","HSS-8079010","JQS5PW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","138 (W21)","1","VIHATRP20231003-032","12/31/2031","NTT-Deskside Services-Cowichan-Local"
"PC033330","PC033330","HSS-8025688","JR1LGC3","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","Laboratory (Reception)","1","VIHATRP20211129-024","02/28/2030","NTT-Deskside Services-Cowichan-Local"
"LD046182","LD046182","HSS-1047502","JR2JTY3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","138 (W19)","1","REQ1410455-RITM1487854-SCTASK2388568","09/30/2032","NTT-Deskside Services-Cowichan-Local"
"PC062333","PC062333","HSS-8086888","JR45VZ3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B42","1","VIHATRP20240520-023","07/31/2032","NTT-Deskside Services-Cowichan-Local"
