"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"LD033538","LD033538","HSS-8073046","GSPSVP3","VIHA-SJC-St. Joseph's Campus-Main Building-3rd Floor","Main Building","303","3","VIHATRP20230313-086","10/31/2031","NTT-Deskside Services-NorthIsland-Local"
"LD066444","LD066444","HSS-8084777","GSQHTY3","VIHA-CVHCC-Comox Valley Home & Community Care","Main Building","106","1","VIHATRP20240318","05/31/2032","NTT-Deskside Services-NorthIsland-Local"
"TD030632","LD065949","HSS-8025564","GT7JGC3","VIHA-AMHO-Auxiliary Mental Health Office","Main Building","F7","1","VIHATRP20211122-003","02/28/2030","NTT-Deskside Services-NorthIsland-Local"
"PC024287","PC024287","HSS-8027645","GTBJRH3","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","CV0415","","VIHATRP20220321-039","06/30/2030","NTT-Deskside Services-NorthIsland-Staffed"
"PC026061","PC026061","HSS-8092092","GTCLG14","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1177","1","VIHATRP20250127","01/31/2033","NTT-Deskside Services-NorthIsland-Staffed"
"PC024492","PC024492","HSS-8072691","GTDSVP3","VIHA-CVH-Comox Valley Hospital-Main Building-3rd Floor","Main Building","CV3121","","VIHATRP20230227-067","10/31/2031","NTT-Deskside Services-NorthIsland-Staffed"
"LD060879","LD060879","HSS-1034733","GTJKRH3","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","CV0620 (WFH Kerry Caddell)","WFH","REQ0577029-RITM0606039-SCTASK0949479","07/31/2030","NTT-Deskside Services-NorthIsland-Staffed"
"LD081185","LD100176","HSS-8068979","GTXMVF3","VIHA-AMHO-Auxiliary Mental Health Office","Main Building","F11","1","VIHATRP20221121-010","02/28/2031","NTT-Deskside Services-NorthIsland-Local"
"PC032597","PC032597","HSS-8077510","GVJPQT3","VIHA-CVCHC-Comox Valley Community Health Centre-Main Building-1st Floor","Main Building","8","1","VIHATRP20230814-080","10/31/2031","NTT-Deskside Services-NorthIsland-Local"
"LD036243","LD036243","HSS-1024209","GVM4X53","VIHA-SJC-St. Joseph's Campus-Main Building-3rd Floor","Main Building","320","3","REQ0163411-RITM0170597-SCTASK0259171","04/30/2029","NTT-Deskside Services-NorthIsland-Local"
"PC024485","PC024485","HSS-8027654","GVQHRH3","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Main Building","CV2949","","VIHATRP20220321-045","06/30/2030","NTT-Deskside Services-NorthIsland-Staffed"
"LD101265","LD101265","HSS-1044911","GVVHTY3","VIHA-CVNC-Comox Valley Nursing Centre-Main Building-1st Floor","Main Building","WFH Jessica Arnott","1","REQ1166094-RITM1227882-SCTASK1968366","02/29/2032","NTT-Deskside Services-NorthIsland-Local"
"PC026115","PC026115","HSS-8066934","GWG60N3","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1800","","VIHATRP20220926-030","12/31/2030","NTT-Deskside Services-NorthIsland-Staffed"
"PC024411","PC024411","HSS-8087569","GWK4VZ3","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Main Building","CV2401","2","VIHATRP20240610-020","08/31/2032","NTT-Deskside Services-NorthIsland-Staffed"
"PC024416","PC024416","HSS-8077504","GWSSVP3","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Main Building","CV2401","2","VIHATRP20230814-077","10/31/2031","NTT-Deskside Services-NorthIsland-Staffed"
