"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"LD065143","LD065143","HSS-8059344","JFW50N3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","2102","2","VIHATRP20220620-006","10/31/2030","NTT-Deskside Services-WestCoast-Staffed"
"LD044273","LD044273","HSS-8086255","JGH3VZ3","VIHA-TGH-Tofino General Hospital-Main Building-1st Floor","Main Building","WFH","1st Floor","VIHATRP20240429-033","07/31/2032","NTT-Deskside Services-WestCoast-Remote"
"LD050422","LD050422","HSS-1972927","JGJKGC3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","1","1","DMND0003120","12/31/2029","NTT-Deskside Services-WestCoast-Local"
"LD028772","LD028772","HSS-8072162","JHDRVP3","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services-Main Building-1st Floor","Main Building","5","1","VIHATRP20230213-020","05/31/2031","NTT-Deskside Services-WestCoast-Local"
"LD065208","LD065208","HSS-8024978","JHJKGC3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","7","1","VIHATRP20211025-026","01/31/2030","NTT-Deskside Services-WestCoast-Local"
"PC074077","PC074077","HSS-1903207","JJ25TY3","VIHA-UPR-Ucluelet Peninsula Road","Main Building","Lab","1","DMND0005135","12/31/2032","NTT-Deskside Services-WestCoast-Remote"
"LD032389","LD032389","HSS-8058661","JJPKRH3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","2343","2","VIHATRP20220505-015","08/31/2030","NTT-Deskside Services-WestCoast-Staffed"
"LD036391","LD036391","HSS-8095820","JKHMG14","VIHA-WCGH-West Coast General Hospital-Main Building-1st Floor","Main Building","WC1422","1","ISLHTRP20250922-001","09/30/2030","NTT-Deskside Services-WestCoast-Staffed"
"PC033751","PC033751","HSS-8086284","JLZ3VZ3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2462 - Core Lab","2","VIHATRP20240429-059","07/31/2032","NTT-Deskside Services-WestCoast-Staffed"
"LD101258","LD101258","LD034741","JMG60N3","VIHA-WCMHAS-West Coast Mental Health & Addiction Services-Main Building-1st Floor","Main Building","2nd on right","1","VIHATRP20221114-004","02/28/2031","NTT-Deskside Services-WestCoast-Remote"
"LD032584","LD032584","HSS-8058722","JMJJRH3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","19","1","VIHATRP20220505-054","08/31/2030","NTT-Deskside Services-WestCoast-Local"
"LD066241","LD066241","HSS-8073758","JN8QQT3","VIHA-PARS-Port Alberni Redford Street-Mental Health and Addictions-1st Floor","Main Building","7","1","VIHATRP20230417-023","06/30/2031","NTT-Deskside Services-WestCoast-Local"
"PC032706","PC032706","HSS-8086305","JNV4VZ3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2412","2","VIHATRP20240429-070","07/31/2032","NTT-Deskside Services-WestCoast-Staffed"
"LD020513","LD020513","HSS-1042204","JP8QQT3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2102","2","REQ0898190-RITM0944194-SCTASK1497892","06/30/2031","NTT-Deskside Services-WestCoast-Staffed"
"PC033276","PC033276","HSS-8086326","JPZ3VZ3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2345","2","VIHATRP20240429-086","07/31/2032","NTT-Deskside Services-WestCoast-Staffed"
"PC075779","PC075779","HSS-1940274","JQ0LG14","VIHA-UPR-Ucluelet Peninsula Road-Community Health Centre-1st Floor","Main Building","105","1","DMND0005326","08/31/2030","NTT-Deskside Services-WestCoast-Remote"
"PC031598","PC031598","PC031598","JQ170N3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2330","2","VIHATRP20221114-036","02/28/2031","NTT-Deskside Services-WestCoast-Staffed"
"LD050419","LD050419","HSS-1972920","JQNKGC3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","17","1","DMND0003120","12/31/2029","NTT-Deskside Services-WestCoast-Local"
"LD038047","LD038047","HSS-8078553","JR66PW3","VIHA-PAHC-Port Alberni Health Centre-Main Building-1st Floor","Main Building","Miranda's device","1","VIHATRP20230918-029","11/30/2031","NTT-Deskside Services-WestCoast-Local"
"LD064927","LD064927","HSS-1044770","JTFLTY3","VIHA-PACDF-Port Alberni Community Dialysis Facility-Main Building-1st Floor","Main Building","1","1","REQ1148481-RITM1209194-SCTASK1944023","01/31/2032","NTT-Deskside Services-WestCoast-Local"
"TD001654","TD001654","TD001654","JXB60N3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WCICU - 2166 - Physician On-Call Room","","VIHATRP20221114-045","02/28/2031","NTT-Deskside Services-WestCoast-Staffed"
"PC040022","PC040022","HSS-8089618","JXCJTY3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2326 - Administration","","VIHATRP20240909-068","11/30/2032","NTT-Deskside Services-WestCoast-Staffed"
"LD032386","LD032386","HSS-8024957","JXCKGC3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","17","1","VIHATRP20211025-010","01/31/2030","NTT-Deskside Services-WestCoast-Local"
"PC067012","PC067012","PC067012","JXJ60N3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2248 - Ultrasound Room 2","","VIHATRP20221114-061","02/28/2031","NTT-Deskside Services-WestCoast-Staffed"
"PC027591","PC027591","HSS-8072127","JXPSVP3","VIHA-PAHC-Port Alberni Health Centre-Main Building-1st Floor","Main Building","BREAK ROOM/CHW Room","1","VIHATRP20230213-007","05/31/2031","NTT-Deskside Services-WestCoast-Local"
"LD073165","LD073165","HSS-8078603","JXRRQT3","VIHA-WCGH-West Coast General Hospital-Main Building-1st Floor","Main Building","WFH 152A - Jasmine Meikle","1","VIHATRP20230918-079","11/30/2031","NTT-Deskside Services-WestCoast-Staffed"
"PC067012","PC067012","PC067012","JYVLVF3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2248 - Ultrasound Room 2","","VIHATRP20221114-061","02/28/2031","NTT-Deskside Services-WestCoast-Staffed"
"PC038028","PC038028","HSS-8086241","JYY2VZ3","VIHA-TGH-Tofino General Hospital-Main Building-1st Floor","Main Building","Trauma Room","1","VIHATRP20240429-022","07/31/2032","NTT-Deskside Services-WestCoast-Remote"
"LD100152","LD100152","HSS-1040085","JZ7HRH3","VIHA-PAHC-Port Alberni Health Centre-Main Building-1st Floor","Main Building","Natasha's Office","1","REQ0787823-RITM0827671-SCTASK1308130","11/30/2030","NTT-Deskside Services-WestCoast-Local"
"PC031596","PC031596","HSS-1984833","JZGKRH3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WCOR - Surgical Desk","2","DMND0003637","10/31/2030","NTT-Deskside Services-WestCoast-Staffed"
"","HSS-8007144-M1","HSS-8007144-M1","V1852061","VIHA-TGH-Tofino General Hospital","Main Building","","1","","03/31/2019","NTT-Deskside Services-WestCoast-Remote"
"","PC050948","HSS-8009133-M2","V1F13241","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","","CT","","","","NTT-Deskside Services-WestCoast-Staffed"
"","PC051565","HSS-8009252-M1","V1F94457","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","","WCMedical Imaging - Reception","","","","NTT-Deskside Services-WestCoast-Staffed"
"","PC051565","HSS-8009252-M2","V1F94461","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","","WCMedical Imaging - Reception","","","","NTT-Deskside Services-WestCoast-Staffed"
"LD036938LER","LD036938","HSS-8009376-M1","V1F95165","VIHA-BAM-Bamfield Health Centre-Main Building-1st Floor","Main Building","Reception","1","","12/31/2019","NTT-Deskside Services-WestCoast-Remote"
"","PC033754","","V8JY233S2A8B","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","","WC1420 Float desk area","","","","NTT-Deskside Services-WestCoast-Staffed"
"","HSS-8001654-M1","HSS-8001654-M1","VN375083","VIHA-WCGH-West Coast General Hospital","","","","","07/31/2017","NTT-Deskside Services-WestCoast-Staffed"
"","HSS-8001687-M1","HSS-8001687-M1","VN419906","VIHA-WCGH-West Coast General Hospital","","","","","08/31/2017","NTT-Deskside Services-WestCoast-Staffed"
"","HSS-1005532-M2","HSS-1005532-M2","VN554153","VIHA-WCGH-West Coast General Hospital","","","","","10/31/2017","NTT-Deskside Services-WestCoast-Staffed"
"","LD055184","HSS-8003287-M1","VN698868","VIHA-WCMHAS-West Coast Mental Health & Addiction Services-Main Building-1st Floor","Main Building","Main Floor","1","","01/31/2018","NTT-Deskside Services-WestCoast-Remote"
"","HSS-8002429-M1","HSS-8002429-M1","VN699032","VIHA-WCGH-West Coast General Hospital","","","","","11/30/2017","NTT-Deskside Services-WestCoast-Staffed"
"","HSS-8003048-M1","HSS-8003048-M1","VN700128","VIHA-TGH-Tofino General Hospital","","","","","12/31/2017","NTT-Deskside Services-WestCoast-Remote"
"PC026224","PC026224","HSS-8005503-M1","VN991641","VIHA-ULS-Ucluelet Lab Services-Main Building-1st Floor","Main Building","Lab","","","08/31/2018","NTT-Deskside Services-WestCoast-Remote"
"","99683","99683","VNACG29","VIHA-TGH-Tofino General Hospital","","","","","10/31/2016","NTT-Deskside Services-WestCoast-Remote"
"","PC030899","HSS-8011222-M1","VT947375","VIHA-PAHC-Port Alberni Health Centre-Main Building-1st Floor","","Reception","","","04/30/2021","NTT-Deskside Services-WestCoast-Local"
"","LD038206","HSS-8012406-M1","VTB15456","VIHA-PAHC-Port Alberni Health Centre-Main Building-1st Floor","","6","","","08/31/2021","NTT-Deskside Services-WestCoast-Local"
