"City","Location","Building","Floor","Room","Department"
"","","","","Rm 5",""
"","","","","Rm 6",""
"","","","","room #2",""
"","","","","Room #21",""
"","","","","Room 1025",""
"","","","","Room 11",""
"","","","","Room 1520a - Deskside - Roman Frank",""
"","","","","Room 1554 -Storage",""
"","","","","Room 21",""
"","","","","Room 22",""
"","","","","Room 2351 - Medical Records",""
"","","","","Room 5",""
"","","","","Room 5 - South HCN - TWH Rapid Response",""
"","","","","Room 6",""
"","","","","Schedulers Office",""
"","","","","Scheduler's office #1",""
"","","","","Screening Clinic",""
"","","","","Sharon Anderson's desk",""
"","","","","Social Work",""
"","","","","South HCN",""
"","","","","Specialists Trailer",""
"","","","","Stores - beside printer",""
"","","","","Team Area",""
"","","","","Team Room",""
"","","","","Telehealth",""
"","","","","Telehealth room",""
"","","","","Telehealth Room - Room 2245",""
"","","","","TGH - Home and Community care",""
"","","","","Tina's device",""
"","","","","Trauma Room",""
"","","","","Ty Watson House site",""
"","","","","Unit 201 - Consult Room #4",""
"","","","","Unit 201 - Eugene?s desk (Room 10)",""
"","","","","Unit 201 - Robbie?s desk (Room 12)",""
"","","","","Unit 201 - Room 11",""
"","","","","WC1422",""
"","","","","WC1423 Shipping Dock",""
"","","","","WC1471B",""
"","","","","WC1471C",""
"","","","","WC1475",""
"","","","","WC1475 Engineering/FMO",""
"","","","","WC1501",""
"","","","","WC1513",""
"","","","","WC1541",""
"","","","","WC1553",""
"","","","","WC1554 - Storage",""
"","","","","WC1554 - storage",""
"","","","","WC2102",""
"","","","","WC2103",""
"","","","","WC2104",""
"","","","","WC2105",""
"","","","","WC2109 MDRD",""
"","","","","WC2110 - OR Surgical Desk",""
"","","","","WC2110 - patient waiting area",""
"","","","","WC2122 OR",""
"","","","","WC2140 - PACU",""
"","","","","WC2140 - PAR Recovery",""
"","","","","WC2161",""
"","","","","WC2163 Endoscopy",""
"","","","","WC2215 (Report Room B)",""
"","","","","WC2215 (Reports Room B)",""
"","","","","WC2222 - Trauma Room",""
"","","","","WC2238",""
"","","","","WC2238 - Clinical Coordinator",""
"","","","","WC2241",""
"","","","","WC2243 - Clinical Exam room",""
"","","","","WC2246 - Ultrasound tech Rm 1",""
"","","","","WC2248 - Ultrasound Room 2",""
"","","","","WC2256 - Marion's PC",""
"","","","","WC2258",""
"","","","","WC2258 - Radiologist office",""
"","","","","WC2270",""
"","","","","WC2303",""
"","","","","WC2304 - Administration - OR Booking",""
"","","","","WC2306",""
"","","","","WC2312",""
"","","","","WC2312 - Administration",""
"","","","","WC2313 - Administration",""
"","","","","WC2314 - Administration",""
"","","","","WC2315 - Administration",""
"","","","","WC2315 - ER",""
"","","","","WC2315 - for remote work",""
"","","","","WC2317",""
"","","","","WC2318",""
"","","","","WC2318- Administration",""
"","","","","WC2319",""
"","","","","WC2319 - Administration",""
"","","","","WC2319 - Med Staff Cred and Privacy",""
"","","","","WC2326",""
"","","","","WC2326 - Administration",""
"","","","","WC2330",""
"","","","","WC2330 - Computer lab",""
