"SlNo","Asset Tag"
"244764","HSS-8089503"
"126707","HSS-8079840"
"196992","HSS-8073706"
"110617","HSS-8079842"
"181456","HSS-8079849"
"146500","HSS-8057931"
"312607","HSS-8099724"
"123613","HSS-8061471"
"103800","HSS-8061475"
"282161","HSS-8097874"
"116667","HSS-8061469"
"149391","HSS-8061472"
"143835","HSS-8061473"
"157985","HSS-8061476"
"261760","HSS-8095995"
"270896","HSS-8096428"
"270796","HSS-8097838"
"283037","HSS-8099495"
"229371","HSS-1045302"
"134647","HSS-8074732"
"140182","HSS-8068263"
"36595","HSS-1041691"
"27965","HSS-8066618"
"112418","HSS-8072896"
"119616","HSS-8066609"
"149288","HSS-8068903"
"111783","HSS-8068899"
"62594","HSS-8066613"
"230925","HSS-1045661"
"266856","HSS-8096389"
"183916","HSS-8074771"
"261739","HSS-8096388"
"266843","HSS-8096393"
"84870","HSS-8079841"
"235292","HSS-8093302"
"235295","HSS-8093300"
"271055","HSS-8097280"
"267123","HSS-8096390"
"270916","HSS-8097281"
"67783","HSS-8026130"
"267012","HSS-8096386"
"280466","HSS-8098646"
"289985","HSS-8098644"
"270794","HSS-8097842"
"270842","HSS-8096430"
"266918","HSS-8096414"
"146935","HSS-1039633"
"270933","HSS-8096987"
"109776","HSS-8079838"
"147728","HSS-8061727"
"33067","HSS-8061731"
"2786","HSS-8068518"
"66825","HSS-1992509"
"89758","HSS-8077607"
"18702","HSS-8077604"
"124295","HSS-1992511"
"249550","HSS-8091289"
"234712","HSS-1046910"
"73403","HSS-8077606"
"175065","HSS-1992513"
"106526","HSS-8077600"
"168538","HSS-8077609"
"14085","HSS-8081675"
"193430","HSS-1990615"
"84487","HSS-1038959"
"293779","HSS-8098566"
"118389","HSS-8074238"
"261778","HSS-8095370"
"138721","HSS-8074240"
"92300","HSS-8080289"
"293275","HSS-8098496"
"62837","HSS-1992510"
"273195","HSS-8095215"
"249542","HSS-8091288"
"277823","HSS-8096562"
"248253","HSS-8090288"
"183779","HSS-8077612"
"112619","HSS-8077603"
"197532","HSS-8068519"
"204352","HSS-8070363"
"100813","HSS-1039290"
"96110","HSS-8077608"
"278342","HSS-8096569"
"287605","HSS-8098716"
"249874","HSS-8091290"
"248286","HSS-8090447"
"51892","HSS-8074426"
"225181","HSS-1045472"
