"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","po_number","u_scheduled_retirement","model_id"
"AO005609-CRT","AO005609-SCN","2011734-0094-SCN","2011734-0094-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-5th Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005557-CRT","AO005557-SCN","2011734-0095-SCN","2011734-0095-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005640-CRT","AO005640-SCN","2011734-0096-SCN","2011734-0096-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-2nd Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005554-CRT","AO005554-SCN","2011734-0097-SCN","2011734-0097-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005596-CRT","AO005596-SCN","2011734-0100-SCN","2011734-0100-SCN","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005556-CRT","AO005556-SCN","2011734-0101-SCN","2011734-0101-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005658-CRT","AO005658-SCN","2011734-0102-SCN","2011734-0102-SCN","VIHA-RJH-Royal Jubilee Hospital","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005662-CRT","AO005662-SCN","C017379","2011734-0103-SCN","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","","1128 (Hallway)","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005608-CRT","AO005608-SCN","2011734-0104-SCN","2011734-0104-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
"AO005629-CRT","AO005629-SCN","2011734-0105-SCN","2011734-0105-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","","DMND0004854","","ZEBRA DS8178-HC Handheld Barcode Scanner - Wireless w Cradle"
