"name","asset_tag","serial_number","location","location.city","u_building","u_room","u_floor","po_number","u_scheduled_retirement","operational_status","u_last_rounded_date","comments","u_location_comments","u_device_rounding","u_department_location","location.u_deskside_assignment_group","u_category","model_id","short_description"
"AO400499","HSS-8078484","C23719M022","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Med/Surg Wing A - Rehab","2","VIHATRP20230918-072","10/31/2027","Operational","08/12/2026","","","Mobile Cart","Med/Surg - Wing","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB",""
"AO400500","HSS-8078494","C23719M080","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WCMedSurg - Hallway B","2","VIHATRP20230918-082","10/31/2027","Operational","08/12/2026","","","Mobile Cart","Med/Surg - Wing B","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB",""
"AO400501","HSS-8078458","C23719M138","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","MedSurg - Wing B","2","VIHATRP20230918-046","10/31/2027","Operational","06/19/2026","","","Mobile Cart","Nursing","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB",""
"AO400502","HSS-8078457","C23719M141","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Med/Surg Wing C","2","VIHATRP20230918-045","10/31/2027","Operational","08/12/2026","","Outside Birthing by Windows","Mobile Cart","Med Surg","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB",""
"AO400503","HSS-8089579","C24529M123","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WC2330","2","VIHATRP20240909-069","10/31/2028","Operational","08/31/2026","","","Mobile Cart","Administration","NTT-Deskside Services-WestCoast-Staffed","All-in-One","Tangent MEDIX 22B V12",""
"AO400506","HSS-8100137","C25A01M256","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WCMedSurg - By LDR windows","2","ISLHTRP20260817-084","03/31/2030","Operational","","","","Mobile Cart","Nursing","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V19",""
"AO400508","HSS-8098479","C25318M210","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Med Surg Wing A","2","ISLHTRP20260420-020","01/31/2030","Operational","08/12/2026","Updated Cart  to match and tagged HSS-9801081 - SV May 25","","Mobile Cart","Nursing","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V20",""
"AO400510","HSS-8098480","C25318M205","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Med Surg Wing A","2","ISLHTRP20260420-021","01/31/2030","Operational","08/12/2026","","","Mobile Cart","Nursing","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V20","Cart onsite - in the Medical Library (room 2360) - storage area."
"AO400517","HSS-8094097","C24223M135","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WC2140","2","ISLHTRP20250623-070","07/31/2029","Operational","08/21/2026","","","Mobile Cart","Operating Room - Nursing","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V9",""
"AO400519","HSS-8094103","C24223M027","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Ambo Storage","2","ISLHTRP20250623-078","07/31/2029","Operational","06/25/2026","Unit is with Mircoserve and on route to Tangent again  11 Jun - 2026  SV","Next to Ambo Daycare","Mobile Cart","Med/Sur","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V9",""
"AO400520","HSS-8100146","C25A01M270","VIHA-WCGH-West Coast General Hospital-Main Building-1st Floor","Port Alberni","Main Building","WCMedSurg - Hallway A","2","ISLHTRP20260817-093","03/31/2030","Operational","","","","Mobile Cart","Nursing","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V19",""
"AO400524","HSS-8094098","C24223M122","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WC2140","2","ISLHTRP20250623-071","07/31/2029","Operational","07/08/2026","","","Mobile Cart","Operating Room - Nursing","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V9",""
"AO400527","HSS-8094093","C24223M138","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Med Surg A wing - Rehab","2","ISLHTRP20250623-066","07/31/2029","Operational","06/19/2026","","","Mobile Cart","Nursing - Med/Sur","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V9",""
"AO400529","HSS-8094108","C24223M133","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Ambo Storage room","2","ISLHTRP20250623-083","07/31/2029","Operational","07/30/2026","","Locked Storage room across from Medical daycare","Mobile Cart","Emergency","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V9",""
"AO400530","HSS-8094105","C24223M022","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","ER","2","ISLHTRP20250623-080","07/31/2029","Operational","08/05/2026","","","Mobile Cart","Emergency","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V9",""
"AO400531","HSS-8094109","C24223M137","VIHA-WCGH-West Coast General Hospital-Main Building-1st Floor","Port Alberni","Main Building","1460 - Storage","1","ISLHTRP20250623-084","07/31/2029","Operational","03/19/2026","","Locked Storage room - Not in use","Excluded","Med Surg","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V9",""
"AO400533","HSS-8092848","C25123M213","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Operating Room","2","VIHATRP20250331-044","04/30/2029","Operational","07/24/2026","","","Mobile Cart","WCG Nursing/OB/Psych/Rural Srg","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V20",""
"AO400534","HSS-8092845","C25123M248","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Med Surg - Wing B","2","VIHATRP20250331-041","04/30/2029","Operational","07/24/2026","","","Mobile Cart","WCG Nursing - Med/Sur","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V20",""
"AO400535","HSS-8094096","C24223M021","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WC2140","2","ISLHTRP20250623-069","07/31/2029","Operational","08/21/2026","","","Mobile Cart","Operating Room - Nursing","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V9",""
"AO400538","HSS-8094107","C24223M142","VIHA-WCGH-West Coast General Hospital-Main Building-1st Floor","Port Alberni","Main Building","Med Surge Wing A - Rehab","2","ISLHTRP20250623-082","07/31/2029","Operational","08/12/2026","","","Mobile Cart","Med Surge","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V9",""
"AO400540","HSS-8094094","C24223M134","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Med surg Wing B","2","ISLHTRP20250623-067","07/31/2029","Operational","08/12/2026","","Moves often ","Mobile Cart","Nursing - Med/Sur","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V9",""
"AO400545","HSS-8094090","C24223M169","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Ambo","2","ISLHTRP20250623-063","07/31/2029","Operational","08/12/2026","","Next to Medical Daycare","Mobile Cart","Nursing - Med/Sur","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V9",""
"AO400546","HSS-8094091","C24223M139","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Med Surg Wing C","2","ISLHTRP20250623-064","07/31/2029","Operational","05/07/2026","","Labour and Delivery","Mobile Cart","Labour and Delivery","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V9",""
"AO400550","HSS-8100147","C25A01M260","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","2140","2","ISLHTRP20260817-094","03/31/2030","Operational","08/21/2026","","","Mobile Cart","OR","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V19",""
"AO400551","HSS-8092846","C25123M235","VIHA-WCGH-West Coast General Hospital-Main Building-1st Floor","Port Alberni","Main Building","1460 Storage","1","VIHATRP20250331-042","04/30/2029","Operational","04/10/2026","","Not In use locked in storage - ","Excluded","ER","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V20",""
"AO400552","HSS-8094106","C24223M141","VIHA-WCGH-West Coast General Hospital-Main Building-1st Floor","Port Alberni","Main Building","1460 - Storage","1","ISLHTRP20250623-081","07/31/2029","Operational","04/07/2026","","Locked storage in Basement - Not In use Not accesible","Excluded","Med Surg","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V9",""
"AO400555","HSS-8094104","C24223M010","VIHA-WCGH-West Coast General Hospital-Main Building-1st Floor","Port Alberni","Main Building","Wing C","2","ISLHTRP20250623-079","07/31/2029","Operational","08/12/2026","","","Mobile Cart","Med/Surg","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V9",""
"AO400556","HSS-8094111","C24223M165","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Emergency","2","ISLHTRP20250623-086","07/31/2029","Operational","07/02/2026","","","Mobile Cart","Nursing","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V9",""
"AO400560","HSS-8092847","C25123M237","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WC2140","2","VIHATRP20250331-043","04/30/2029","Operational","08/21/2026","","PACU","Mobile Cart","Operating Room - Nursing","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V20",""
"AO400562","HSS-8094102","C24223M136","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Med/Surg Wing B","2","ISLHTRP20250623-077","07/31/2029","Operational","08/12/2026","","","Mobile Cart","Nursing - Med/Sur","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V9",""
"AO400565","HSS-8094110","C24223M132","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Emergency","2","ISLHTRP20250623-085","07/31/2029","Operational","08/12/2026","","","Mobile Cart","Emergency","NTT-Deskside Services-WestCoast-Staffed","All-in-One","TANGENT MEDIX 22B V9",""
"C19C14M222","C009375","C19C14M222","VIHA-TGH-Tofino General Hospital-Main Building-Basement 1","Tofino","Main Building","Screening Clinic","1","Lease Information Extract - HPFS Tangent","03/31/2023","Operational","01/29/2026","","Screening Clinic - Sea Can far end of hospital in front","Mobile Cart","261 Neill St","NTT-Deskside Services-WestCoast-Remote","All-in-One","Tangent MEDIX T22B V7","Tangent T22B AIO"
"LD020465","HSS-8058593","D9NR9K3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WC2345","2","VIHATRP20220505-007","09/30/2026","Operational","04/10/2026","","","General Rounding","Nursing","NTT-Deskside Services-WestCoast-Staffed","Laptop","Dell LATITUDE 7420 V3",""
"LD020513","HSS-8078456","15F95X3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WC2102","2","VIHATRP20230918-044","10/31/2027","Operational","07/24/2026","","","General Rounding","Social Work","NTT-Deskside Services-WestCoast-Staffed","Laptop","Dell LATITUDE 7430 V1","CUSTOMER OWNED LENOVO THINKPAD T470s i5-"
"LD020789","HSS-8078490","J1Q85X3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WC2504 - pharmacy","2","VIHATRP20230918-078","10/31/2027","Operational","02/27/2026","","","General Rounding","Pharmacy","NTT-Deskside Services-WestCoast-Staffed","Laptop","Dell LATITUDE 7430 V1",""
"LD020971","HSS-8024919","F1426G3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WCPhysio - Main Physio Office","2","VIHATRP20211025-024","03/31/2026","Operational","03/24/2026","","","General Rounding","Physical Therapy","NTT-Deskside Services-WestCoast-Staffed","Laptop","Dell LATITUDE 7420 V3",""
"LD021019","HSS-8068730","BLM1NN3","VIHA-TGH-Tofino General Hospital-Main Building-1st Floor","Tofino","Main Building","221B","1","VIHATRP20221114-010","01/31/2027","Operational","01/29/2026","Device moved to room next to Site Director's office as per SCTASK244770 - 2-feb-24 - Roman Frank - tech.","","General Rounding"," ","NTT-Deskside Services-WestCoast-Remote","Laptop","Dell LATITUDE 7420 V3",""
"LD021646","HSS-8098470","PF60E6JG","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WC2310","2","ISLHTRP20260420-011","04/30/2030","Operational","07/22/2026","","","Excluded","Admin","NTT-Deskside Services-WestCoast-Staffed","Laptop","LENOVO THINKPAD T14 GEN6 NT FPR 2x1",""
"LD022125","HSS-8078482","DVJQ5X3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WC2319 - Med Staff Cred and Privacy","2","VIHATRP20230918-070","10/31/2027","Operational","08/21/2026","","Administration","General Rounding","Administration","NTT-Deskside Services-WestCoast-Staffed","Laptop","Dell LATITUDE 7430 V1","LENOVO THNKPD T480s i5-8350 1.7GHZ 6MB 14 WIN 10 16GB"
"LD023194","HSS-8078436","FWT75X3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Port Alberni","Main Building","23","1","VIHATRP20230918-024","10/31/2027","Operational","07/10/2026","","HSCL/CM office--Ashley Schuhmann","General Rounding","R37 Community Services Adm","NTT-Deskside Services-WestCoast-Local","Laptop","Dell LATITUDE 7430 V1",""
"LD023195","HSS-8078454","D82FFY3","VIHA-PAIHN-Port Alberni Integrated Health Network-Main Building-1st Floor","Port Alberni","Main Building","Admin","1","VIHATRP20230918-042","10/31/2027","Operational","04/29/2026","","","General Rounding","Primary Care","NTT-Deskside Services-WestCoast-Local","Laptop","DELL LATITUDE 7440 V2",""
"LD023707","HSS-8095804","5Q9Q774","VIHA-TGH-Tofino General Hospital-Main Building-Basement 1","Tofino","Main Building","Physio","1","ISLHTRP20250922-012","09/30/2029","Operational","03/06/2026","","","General Rounding","Physiotherapy","NTT-Deskside Services-WestCoast-Remote","Laptop","Dell LATITUDE 7450 V4",""
"LD023786","HSS-8100136","SD005MPX","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","Meeting Room C","2","ISLHTRP20260817-083","","Operational","08/21/2026","","","General Rounding","Administration","NTT-Deskside Services-WestCoast-Staffed","Laptop","LENOVO THINKPAD T14 GEN6 NT FPR 2x1",""
"LD024308","HSS-8096620","PF5RZXSY","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Port Alberni","Main Building","WFH","2","ISLHTRP20251124-016","12/31/2029","Operational","01/13/2026","","","Excluded","Administration","NTT-Deskside Services-WestCoast-Staffed","Laptop","LENOVO THINKPAD T14",""
"LD024836","HSS-8095819","2T9Q774","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Port Alberni","Main Building","20","1","ISLHTRP20250922-027","09/30/2029","Operational","07/16/2026","","","General Rounding","R37 Case Mgmt Coordination","NTT-Deskside Services-WestCoast-Local","Laptop","Dell LATITUDE 7450 V4",""
"LD026442","HSS-8098467","PF60F4KA","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Port Alberni","Main Building","6","1","ISLHTRP20260420-008","04/30/2030","Operational","08/21/2026","","","General Rounding","CBC Home Care Nursing-Pt","NTT-Deskside Services-WestCoast-Local","Laptop","LENOVO THINKPAD T14 GEN6 NT FPR 2x1",""
"LD027199","HSS-8089564","H08JVW3","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Port Alberni","Main Building","1","1","VIHATRP20240909-054","10/31/2028","Operational","07/16/2026","","","General Rounding","CHS PA Clinical","NTT-Deskside Services-WestCoast-Local","Laptop","Dell LATITUDE 7440 V7","LENOVO THINKPAD T470s i5-7300U 2.6GHZ 3M"
