"name","asset_tag","serial_number","location","location.city","u_building","u_room","u_floor","po_number","u_scheduled_retirement","operational_status","u_last_rounded_date","comments","u_location_comments","u_device_rounding","u_department_location","location.u_deskside_assignment_group","u_category","model_id","short_description"
"LD021715","HSS-8027547","GFT34J3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","106 - SOHO - Not found in AD","2","VIHATRP20220321-021","07/31/2026","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"LD031240","HSS-8079374","79QRDY3","VIHA-CRMC-Campbell River Marwalk Crescent-Main Building-1st Floor","Campbell River","Main Building","107","2","VIHATRP20230916-054","11/30/2027","Operational","03/25/2024","","","General Rounding","CI/NI-FMO Admin Support","NTT-Deskside Services-CampbellRiver-Local","Laptop","DELL LATITUDE 7440 V2",""
"LD031239","HSS-8057909","D45T5J3","VIHA-CRMC-Campbell River Marwalk Crescent-Main Building-1st Floor","Campbell River","Main Building","108","1","VIHATRP20220404-040","08/31/2026","Operational","03/25/2024","","","General Rounding"," ","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"LD065658","HSS-8066594","12ZDLN3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","108","2","VIHATRP20220919-042","01/31/2027","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"LD037871","HSS-8059169","6C034J3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","109","2","VIHATRP20220613-025","12/31/2026","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"LD039382","HSS-8066634","4B4FLN3","VIHA-CRMC-Campbell River Marwalk Crescent-Main Building-1st Floor","Campbell River","Main Building","109","1","VIHATRP20220919-082","02/28/2027","Operational","03/25/2024","","","General Rounding"," ","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"LD037873","HSS-8066590","1G37NN3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","109","2","VIHATRP20220919-038","01/31/2027","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"PC040018","HSS-8079352","4JMVPR3","VIHA-CRMHAS-Campbell River Mental Health & Addiction Services-Main Building-2nd Floor","Campbell River","Main Building","11","2nd Floor","VIHATRP20230916-035","06/30/2027","Operational","07/24/2024","","","General Rounding","Campbell River Addictions","NTT-Deskside Services-CampbellRiver-Local","Desktop","Dell OPTIPLEX 7000 MICRO V1","LENOVO THINKCENTRE M910q i5-7500T 2.5GHZ"
"LD058231","HSS-8094717","BQ9Q774","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","110","2nd Floor","ISLHTRP20250804-012","07/31/2029","Operational","06/11/2026","","","General Rounding","Public Health Nursing","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7450 V4",""
"LD037872","HSS-8066597","4P4FLN3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","110","2","VIHATRP20220919-045","01/31/2027","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"LD035566","HSS-8079381","5RKZFY3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Main Building","110","2nd Floor","VIHATRP20230916-061","11/30/2027","Operational","06/11/2026","","","General Rounding","Public Health Nursing-Re2","NTT-Deskside Services-CampbellRiver-Local","Laptop","DELL LATITUDE 7440 V2",""
"LD035597","HSS-8079378","HC2QDY3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Main Building","111","2nd Floor","VIHATRP20230916-058","11/30/2027","Operational","06/11/2026","","","General Rounding","Public Health Nursing-Re2","NTT-Deskside Services-CampbellRiver-Local","Laptop","DELL LATITUDE 7440 V2",""
"LD033198","HSS-8066583","FLX3NN3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","111","2","VIHATRP20220919-031","01/31/2027","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"LD034637","HSS-8066600","14HFLN3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","112","2","VIHATRP20220919-048","01/31/2027","Operational","08/21/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"LD034197","HSS-8066580","63W4NN3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","112","2","VIHATRP20220919-028","01/31/2027","Operational","08/21/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3","LENOVO THINKPAD T470s i5-7300U 2.6GHZ 3M"
"LD031238","HSS-8066587","2B1JLN3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","113","2","VIHATRP20220919-035","01/31/2027","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"LD038160","HSS-8066586","5J4FLN3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","113","2","VIHATRP20220919-034","01/31/2027","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"LD059253","HSS-8095456","3GYQ774","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","114","2nd Floor","ISLHTRP20250908-025","09/30/2029","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7450 V4",""
"LD046349","HSS-8092268","87H4WH3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","114","2nd Floor","VIHATRP20250127-054","12/31/2028","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7450 V4",""
"LD030351","HSS-8066578","GKP4NN3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","114","2","VIHATRP20220919-026","01/31/2027","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"LD030200","HSS-8066599","44ZDLN3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","114","2","VIHATRP20220919-047","01/31/2027","Operational","05/09/2024","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"LD034644","HSS-8091060","BVLJVW3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Main Building","114","2nd Floor","VIHATRP20241104-018","02/28/2029","Operational","06/11/2026","","","General Rounding","Home and Community Care CR","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7440 V7","LENOVO THNKPD T480s i5-8350 1.7GHZ 6MB 1"
"LD090451","HSS-1045370","J0N89W3","VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse-1st Floor","Campbell River","Whitehouse","116","1","REQ1222727-RITM1288124-SCTASK2065406","02/29/2028","Operational","03/17/2026","","","General Rounding","Whitehouse","NTT-Deskside Services-CampbellRiver-Staffed","Laptop","DELL LATITUDE 7440 V2",""
"LD041020","HSS-8091059","FQFJVW3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","116  Storage Room","2nd Floor","VIHATRP20241104-017","12/31/2028","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7440 V7",""
"LD046309","HSS-8092781","47JSFW3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","116  Storage Room","2nd Floor","VIHATRP20250331-016","03/31/2029","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7450 V4",""
"LD041014","HSS-8091062","67XHVW3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","116  Storage Room","2nd Floor","VIHATRP20241104-020","12/31/2028","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7440 V7",""
"LD030719","HSS-8096768","PF5X5L0Y","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","116 Storage Room","2","ISLHTRP20251208-024","01/31/2030","Operational","06/11/2026","","","General Rounding","Sign our laptop","NTT-Deskside Services-CampbellRiver-Local","Laptop","LENOVO THINKPAD T14 GEN6",""
