"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"PC065112","PC065112","HSS-8087885","CWK4VZ3","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor","North tower","N4D Hallway","4","VIHATRP20240617-066","08/31/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"PC036771","PC036771","HSS-8061380","CWV50N3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main building","2564","2","VIHATRP20220808-255","10/31/2030","NTT-Deskside Services-VictoriaGen-Staffed"
"PC031794","PC031794","HSS-8069440","CX170N3","VIHA-VGH-Victoria General Hospital-Main Building-1st Floor","Main Building","2517A","2","VIHATRP20221205-037","01/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"LD065560","LD065560","HSS-8061853","CX6MVF3","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","North tower","N335","3","VIHATRP20220815-165","10/31/2030","NTT-Deskside Services-VictoriaGen-Staffed"
"PC040748","PC040748","HSS-8079800","CXC6PW3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main Building","2217","2","VIHATRP20231023-104","12/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"LD032606","LD032606","HSS-8059681","CXF60N3","VIHA-EHU-Esquimalt Health Unit-Main Building-1st Floor","Main Building","NO DATA","1","VIHATRP20220704-008","10/31/2030","NTT-Deskside Services-VictoriaGen-Local"
"LD042893","LD042893","HSS-8080878","CXG7PW3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main Building","2107","2","VIHATRP20231127-008","01/31/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"LD035511","LD035511","HSS-8085384","CXJ5VZ3","VIHA-WSC-West Shore Centre-Main Building-1st Floor","Main building","1220","1","VIHATRP20240408-019","06/30/2032","NTT-Deskside Services-VictoriaGen-Local"
"LD085014","LD085014","HSS-1043556","CXSSVP3","VIHA-VADR-Victoria Allandale Road-Main Building-1st Floor","Main building","The Hive Area","1","REQ1014149-RITM1066953-SCTASK1736338","10/31/2031","NTT-Deskside Services-VictoriaGen-Local"
"PC062926","PC062926","HSS-8087780","CXV4VZ3","VIHA-ECV-Eagle Creek Village-Building 7-3rd Floor","Main Building","320 Pre Admissions","3","VIHATRP20240617-002","08/31/2032","NTT-Deskside Services-VictoriaGen-Local"
"PC038882","PC038882","HSS-1988216","CY3SVP3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","North tower","N285A","","DMND0004201","05/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
